#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	1.811648989379653813e+03
3.600000000000000000e+03	1.968050798948167312e+03
7.200000000000000000e+03	1.893177573086989014e+03
1.080000000000000000e+04	1.880603804098812361e+03
1.440000000000000000e+04	1.842719653018338704e+03
1.800000000000000000e+04	1.773201788948153535e+03
2.160000000000000000e+04	2.979509619883912819e+03
2.520000000000000000e+04	2.832491313153975170e+03
2.880000000000000000e+04	3.012860170548459791e+03
3.240000000000000000e+04	2.680320530539127049e+03
3.600000000000000000e+04	2.454178804808935183e+03
3.960000000000000000e+04	2.369983577745563252e+03
4.320000000000000000e+04	2.355667888531559129e+03
4.680000000000000000e+04	2.298380945217311364e+03
5.040000000000000000e+04	2.484351139241947749e+03
5.400000000000000000e+04	2.661698925070073074e+03
5.760000000000000000e+04	2.729533889465942593e+03
6.120000000000000000e+04	2.669122287580679767e+03
6.480000000000000000e+04	2.781607687826183792e+03
6.840000000000000000e+04	2.772284583839271363e+03
7.200000000000000000e+04	2.735890328303714341e+03
7.560000000000000000e+04	2.807326088914458069e+03
7.920000000000000000e+04	2.005120916802987267e+03
8.280000000000000000e+04	2.256487175083734201e+03
8.640000000000000000e+04	2.326633162322667886e+03
9.000000000000000000e+04	2.358188730197604855e+03
9.360000000000000000e+04	2.352324084632480208e+03
9.720000000000000000e+04	2.222408221507690541e+03
1.008000000000000000e+05	2.198700093762067809e+03
1.044000000000000000e+05	2.126922813461572332e+03
1.080000000000000000e+05	2.971831047000737726e+03
1.116000000000000000e+05	3.013743645238913814e+03
1.152000000000000000e+05	3.069406140122750003e+03
1.188000000000000000e+05	3.047992237839369864e+03
1.224000000000000000e+05	2.769690878608580988e+03
1.260000000000000000e+05	2.796245857175669698e+03
1.296000000000000000e+05	2.521002384041992627e+03
1.332000000000000000e+05	2.479901049143351429e+03
1.368000000000000000e+05	2.471881544403539010e+03
1.404000000000000000e+05	2.272856894786137673e+03
1.440000000000000000e+05	2.422254004164359685e+03
1.476000000000000000e+05	2.281853704205858321e+03
1.512000000000000000e+05	2.252547092703950511e+03
1.548000000000000000e+05	2.314846016239772780e+03
1.584000000000000000e+05	2.139896612221134546e+03
1.620000000000000000e+05	2.220416672249260500e+03
1.656000000000000000e+05	1.369099343932952024e+03
1.692000000000000000e+05	1.189468530235671551e+03
1.728000000000000000e+05	1.180888265568822362e+03
1.764000000000000000e+05	1.076667690259177789e+03
1.800000000000000000e+05	9.909410974880842105e+02
1.836000000000000000e+05	1.133282769036318086e+03
1.872000000000000000e+05	1.203447735786817248e+03
1.908000000000000000e+05	1.320863966014805783e+03
1.944000000000000000e+05	2.594162674895259897e+03
1.980000000000000000e+05	2.408417602490364516e+03
2.016000000000000000e+05	2.653742266543062669e+03
2.052000000000000000e+05	2.413631845098232588e+03
2.088000000000000000e+05	2.271785427427251761e+03
2.124000000000000000e+05	2.104200656054158571e+03
2.160000000000000000e+05	2.029294174417820841e+03
2.196000000000000000e+05	2.205600308305070030e+03
2.232000000000000000e+05	2.167385011391942498e+03
2.268000000000000000e+05	2.006845144429816855e+03
2.304000000000000000e+05	2.398176996582186803e+03
2.340000000000000000e+05	2.683209457003554689e+03
2.376000000000000000e+05	2.478820459934550399e+03
2.412000000000000000e+05	2.455325549711929398e+03
2.448000000000000000e+05	2.524045869257845425e+03
2.484000000000000000e+05	2.526549083288556631e+03
2.520000000000000000e+05	1.583925663903566829e+03
2.556000000000000000e+05	1.610292448143941328e+03
2.592000000000000000e+05	1.565768653839308854e+03
2.628000000000000000e+05	1.584099777666177715e+03
2.664000000000000000e+05	1.570701655014481275e+03
2.700000000000000000e+05	1.570701655014481275e+03
2.736000000000000000e+05	1.544172595328298257e+03
2.772000000000000000e+05	1.484269378780543320e+03
2.808000000000000000e+05	2.631740496044915744e+03
2.844000000000000000e+05	2.319683502471034899e+03
2.880000000000000000e+05	2.172489220359248975e+03
2.916000000000000000e+05	2.368350416429630513e+03
2.952000000000000000e+05	2.087930653581397110e+03
2.988000000000000000e+05	2.132624445339768954e+03
3.024000000000000000e+05	2.091749305459761672e+03
3.060000000000000000e+05	2.016351294626728077e+03
3.096000000000000000e+05	1.911978855801675309e+03
3.132000000000000000e+05	2.068870465836880157e+03
3.168000000000000000e+05	2.280912697783514432e+03
3.204000000000000000e+05	2.397943850766391733e+03
3.240000000000000000e+05	2.528061635771168767e+03
3.276000000000000000e+05	2.610563209359176199e+03
3.312000000000000000e+05	2.587964662348892034e+03
3.348000000000000000e+05	2.634252962762431707e+03
3.384000000000000000e+05	1.623435319115772472e+03
3.420000000000000000e+05	1.740502385036524174e+03
3.456000000000000000e+05	1.975972464154265026e+03
3.492000000000000000e+05	1.868002894424645092e+03
3.528000000000000000e+05	1.881008653137762622e+03
3.564000000000000000e+05	1.855374844453188871e+03
3.600000000000000000e+05	1.842719653018338704e+03
3.636000000000000000e+05	1.897792921669694351e+03
3.672000000000000000e+05	3.056821244596099405e+03
3.708000000000000000e+05	3.117392707858305585e+03
3.744000000000000000e+05	3.058312587237429398e+03
3.780000000000000000e+05	3.165978365190241220e+03
3.816000000000000000e+05	2.771614800887517958e+03
3.852000000000000000e+05	2.676273281700745429e+03
3.888000000000000000e+05	2.298380945217311364e+03
3.924000000000000000e+05	2.299645559230734762e+03
3.960000000000000000e+05	2.249953387512131030e+03
3.996000000000000000e+05	2.304080548785565952e+03
4.032000000000000000e+05	2.574165003801204421e+03
4.068000000000000000e+05	2.815563372277146300e+03
4.104000000000000000e+05	2.687087692723939654e+03
4.140000000000000000e+05	2.594090392645207430e+03
4.176000000000000000e+05	2.567544097123032770e+03
4.212000000000000000e+05	2.648052508625585688e+03
4.248000000000000000e+05	1.694169307602523759e+03
4.284000000000000000e+05	1.771645390707536308e+03
4.320000000000000000e+05	1.795580095806257532e+03
4.356000000000000000e+05	1.740502385036524174e+03
4.392000000000000000e+05	1.680403886429280874e+03
4.428000000000000000e+05	1.649639638612760109e+03
4.464000000000000000e+05	1.612402192609946951e+03
4.500000000000000000e+05	1.828027818687877925e+03
4.536000000000000000e+05	2.749348621514973274e+03
4.572000000000000000e+05	2.865436947009485266e+03
4.608000000000000000e+05	3.094090552867921360e+03
4.644000000000000000e+05	3.084568365007058674e+03
4.680000000000000000e+05	2.526695724076017996e+03
4.716000000000000000e+05	2.494350900014898798e+03
4.752000000000000000e+05	2.308201580377983646e+03
4.788000000000000000e+05	2.232273416968363108e+03
4.824000000000000000e+05	2.331566332462448372e+03
4.860000000000000000e+05	2.430334148575782820e+03
4.896000000000000000e+05	2.390774659707272804e+03
4.932000000000000000e+05	2.352623620459442009e+03
4.968000000000000000e+05	2.341834725078329939e+03
5.004000000000000000e+05	2.361794543925526341e+03
5.040000000000000000e+05	2.320611632654459754e+03
5.076000000000000000e+05	2.365048322852511319e+03
5.112000000000000000e+05	1.530867544142499582e+03
5.148000000000000000e+05	1.704022887312924240e+03
5.184000000000000000e+05	1.853198852683845644e+03
5.220000000000000000e+05	1.914940310828453676e+03
5.256000000000000000e+05	1.868002894424645092e+03
5.292000000000000000e+05	1.781498970417936789e+03
5.328000000000000000e+05	1.783813338153089717e+03
5.364000000000000000e+05	1.794316816282452692e+03
5.400000000000000000e+05	2.801766631633066936e+03
5.436000000000000000e+05	3.147952836337598455e+03
5.472000000000000000e+05	3.030720482107679345e+03
5.508000000000000000e+05	3.130765397284276332e+03
5.544000000000000000e+05	2.605225949702966318e+03
5.580000000000000000e+05	2.439596351761489586e+03
5.616000000000000000e+05	2.247173338795274049e+03
5.652000000000000000e+05	2.116159937817715218e+03
5.688000000000000000e+05	2.125494999036847275e+03
5.724000000000000000e+05	2.016181800918331646e+03
5.760000000000000000e+05	2.514025990078250288e+03
5.796000000000000000e+05	2.636827611091109247e+03
5.832000000000000000e+05	2.371162321285674352e+03
5.868000000000000000e+05	2.431177499421233733e+03
5.904000000000000000e+05	2.485615450884558413e+03
5.940000000000000000e+05	2.386584654996363042e+03
5.976000000000000000e+05	2.278467199293807880e+03
6.012000000000000000e+05	1.918243877914245331e+03
6.048000000000000000e+05	1.895883464990798302e+03
6.084000000000000000e+05	2.005120916802987267e+03
6.120000000000000000e+05	2.078527971897407951e+03
6.156000000000000000e+05	2.078527971897407951e+03
6.192000000000000000e+05	2.029698498041324683e+03
6.228000000000000000e+05	2.077928347980433045e+03
6.264000000000000000e+05	3.040195007481601806e+03
6.300000000000000000e+05	3.273289438857567802e+03
6.336000000000000000e+05	2.742577930349092640e+03
6.372000000000000000e+05	2.600420301485745313e+03
6.408000000000000000e+05	2.377399081802388537e+03
6.444000000000000000e+05	2.293800572401763020e+03
6.480000000000000000e+05	2.130840589034214190e+03
6.516000000000000000e+05	2.469472991056027695e+03
6.552000000000000000e+05	2.301164600266812158e+03
6.588000000000000000e+05	2.151489179214895557e+03
6.624000000000000000e+05	2.291959940396297952e+03
