#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	1.594251110654095464e+04
3.600000000000000000e+03	1.731884703074387289e+04
7.200000000000000000e+03	1.665996264316550514e+04
1.080000000000000000e+04	1.654931347606955023e+04
1.440000000000000000e+04	1.621593294656138096e+04
1.800000000000000000e+04	1.560417574274375147e+04
2.160000000000000000e+04	2.621968465497843135e+04
2.520000000000000000e+04	2.492592355575498368e+04
2.880000000000000000e+04	2.651316950082644689e+04
3.240000000000000000e+04	2.358682066874431621e+04
3.600000000000000000e+04	2.159677348231862925e+04
3.960000000000000000e+04	2.085585548416095844e+04
4.320000000000000000e+04	2.072987741907771851e+04
4.680000000000000000e+04	2.022575231791233819e+04
5.040000000000000000e+04	2.186229002532913728e+04
5.400000000000000000e+04	2.342295054061664268e+04
5.760000000000000000e+04	2.401989822730029482e+04
6.120000000000000000e+04	2.348827613070998268e+04
6.480000000000000000e+04	2.447814765287041519e+04
6.840000000000000000e+04	2.439610433778558581e+04
7.200000000000000000e+04	2.407583488907268838e+04
7.560000000000000000e+04	2.470446958244722919e+04
7.920000000000000000e+04	1.764506406786628941e+04
8.280000000000000000e+04	1.985708714073686133e+04
8.640000000000000000e+04	2.047437182843947812e+04
9.000000000000000000e+04	2.075206082573892127e+04
9.360000000000000000e+04	2.070045194476582765e+04
9.720000000000000000e+04	1.955719234926767604e+04
1.008000000000000000e+05	1.934856082510619672e+04
1.044000000000000000e+05	1.871692075846183434e+04
1.080000000000000000e+05	2.615211321360649163e+04
1.116000000000000000e+05	2.652094407810244229e+04
1.152000000000000000e+05	2.701077403308020075e+04
1.188000000000000000e+05	2.682233169298645589e+04
1.224000000000000000e+05	2.437327973175551233e+04
1.260000000000000000e+05	2.460696354314589553e+04
1.296000000000000000e+05	2.218482097956953658e+04
1.332000000000000000e+05	2.182312923246149512e+04
1.368000000000000000e+05	2.175255759075114474e+04
1.404000000000000000e+05	2.000114067411801079e+04
1.440000000000000000e+05	2.131583523664636596e+04
1.476000000000000000e+05	2.008031259701155432e+04
1.512000000000000000e+05	1.982241441579476668e+04
1.548000000000000000e+05	2.037064494290999937e+04
