#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	2.645007524494294557e+04
3.600000000000000000e+03	2.873354166464324589e+04
7.200000000000000000e+03	2.764039256707004097e+04
1.080000000000000000e+04	2.745681553984266066e+04
1.440000000000000000e+04	2.690370693406774444e+04
1.800000000000000000e+04	2.588874611864304097e+04
2.160000000000000000e+04	4.350084045030512789e+04
2.520000000000000000e+04	4.135437317204804276e+04
2.880000000000000000e+04	4.398775849000751623e+04
3.240000000000000000e+04	3.913267974587125354e+04
3.600000000000000000e+04	3.583101055021045613e+04
3.960000000000000000e+04	3.460176023508522485e+04
4.320000000000000000e+04	3.439275117256076192e+04
4.680000000000000000e+04	3.355636180017274455e+04
5.040000000000000000e+04	3.627152663293243677e+04
5.400000000000000000e+04	3.886080430602306296e+04
5.760000000000000000e+04	3.985119478620276641e+04
6.120000000000000000e+04	3.896918539867792424e+04
6.480000000000000000e+04	4.061147224226227991e+04
6.840000000000000000e+04	4.047535492405336117e+04
7.200000000000000000e+04	3.994399879323423374e+04
7.560000000000000000e+04	4.098696089815109008e+04
7.920000000000000000e+04	2.927476538532361519e+04
8.280000000000000000e+04	3.294471275622252142e+04
8.640000000000000000e+04	3.396884416991095350e+04
9.000000000000000000e+04	3.442955546088502888e+04
9.360000000000000000e+04	3.434393163563420967e+04
9.720000000000000000e+04	3.244716003401227863e+04
1.008000000000000000e+05	3.210102136892619092e+04
1.044000000000000000e+05	3.105307307653895623e+04
1.080000000000000000e+05	4.338873328621076507e+04
1.116000000000000000e+05	4.400065722048814496e+04
1.152000000000000000e+05	4.481332964579215331e+04
1.188000000000000000e+05	4.450068667245480174e+04
1.224000000000000000e+05	4.043748682768528670e+04
1.260000000000000000e+05	4.082518951476478105e+04
1.296000000000000000e+05	3.680663480701309163e+04
1.332000000000000000e+05	3.620655531749293004e+04
1.368000000000000000e+05	3.608947054829166882e+04
1.404000000000000000e+05	3.318371066387760948e+04
1.440000000000000000e+05	3.536490846079965559e+04
1.476000000000000000e+05	3.331506408140552958e+04
1.512000000000000000e+05	3.288718755347767728e+04
1.548000000000000000e+05	3.379675183710068086e+04
1.584000000000000000e+05	3.124249053842856665e+04
1.620000000000000000e+05	3.241808341483920231e+04
1.656000000000000000e+05	1.998885042142110251e+04
1.692000000000000000e+05	1.736624054144080583e+04
1.728000000000000000e+05	1.724096867730480881e+04
1.764000000000000000e+05	1.571934827778399631e+04
1.800000000000000000e+05	1.446774002332602868e+04
1.836000000000000000e+05	1.654592842793024465e+04
1.872000000000000000e+05	1.757033694248753091e+04
1.908000000000000000e+05	1.928461390381616366e+04
1.944000000000000000e+05	3.787477505347079568e+04
1.980000000000000000e+05	3.516289699635931902e+04
2.016000000000000000e+05	3.874463709152871161e+04
2.052000000000000000e+05	3.523902493843419506e+04
2.088000000000000000e+05	3.316806724043787835e+04
2.124000000000000000e+05	3.072132957839071241e+04
2.160000000000000000e+05	2.962769494650018532e+04
2.196000000000000000e+05	3.220176450125402334e+04
2.232000000000000000e+05	3.164382116632235920e+04
2.268000000000000000e+05	2.929993910867532759e+04
2.304000000000000000e+05	3.501338415009992605e+04
2.340000000000000000e+05	3.917485807225189637e+04
2.376000000000000000e+05	3.619077871504443465e+04
2.412000000000000000e+05	3.584775302579416893e+04
2.448000000000000000e+05	3.685106969116454275e+04
2.484000000000000000e+05	3.688761661601292872e+04
2.520000000000000000e+05	2.312531469299207311e+04
2.556000000000000000e+05	2.351026974290154249e+04
2.592000000000000000e+05	2.286022234605390986e+04
2.628000000000000000e+05	2.312785675392619669e+04
2.664000000000000000e+05	2.293224416321142417e+04
