#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	6.521936361766754089e+03
3.600000000000000000e+03	7.084982876213402960e+03
7.200000000000000000e+03	6.815439263113160450e+03
1.080000000000000000e+04	6.770173694755724682e+03
1.440000000000000000e+04	6.633790750866019152e+03
1.800000000000000000e+04	6.383526440213352544e+03
2.160000000000000000e+04	1.072623463158208506e+04
2.520000000000000000e+04	1.019696872735431134e+04
2.880000000000000000e+04	1.084629661397445489e+04
3.240000000000000000e+04	9.649153909940856465e+03
3.600000000000000000e+04	8.835043697312166842e+03
3.960000000000000000e+04	8.531940879884028618e+03
4.320000000000000000e+04	8.480404398713611954e+03
4.680000000000000000e+04	8.274171402782320001e+03
5.040000000000000000e+04	8.943664101271011532e+03
5.400000000000000000e+04	9.582116130252263247e+03
5.760000000000000000e+04	9.826322002077393336e+03
6.120000000000000000e+04	9.608840235290446799e+03
6.480000000000000000e+04	1.001378767617426092e+04
6.840000000000000000e+04	9.980224501821376180e+03
7.200000000000000000e+04	9.849205181893372355e+03
7.560000000000000000e+04	1.010637392009204814e+04
7.920000000000000000e+04	7.218435300490754344e+03
8.280000000000000000e+04	8.123353830301442940e+03
8.640000000000000000e+04	8.375879384361604025e+03
9.000000000000000000e+04	8.489479428711378205e+03
9.360000000000000000e+04	8.468366704676929658e+03
9.720000000000000000e+04	8.000669597427685403e+03
1.008000000000000000e+05	7.915320337543444111e+03
1.044000000000000000e+05	7.656922128461659668e+03
1.080000000000000000e+05	1.069859176920265600e+04
1.116000000000000000e+05	1.084947712286008937e+04
1.152000000000000000e+05	1.104986210444189965e+04
1.188000000000000000e+05	1.097277205622173096e+04
1.224000000000000000e+05	9.970887162990891738e+03
1.260000000000000000e+05	1.006648508583241164e+04
1.296000000000000000e+05	9.075608582551172731e+03
1.332000000000000000e+05	8.927643776916065690e+03
1.368000000000000000e+05	8.898773559852741528e+03
1.404000000000000000e+05	8.182284821230095986e+03
1.440000000000000000e+05	8.720114414991694503e+03
1.476000000000000000e+05	8.214673335141091229e+03
1.512000000000000000e+05	8.109169533734222568e+03
1.548000000000000000e+05	8.333445658463182554e+03
1.584000000000000000e+05	7.703627803996084367e+03
1.620000000000000000e+05	7.993500020097338165e+03
1.656000000000000000e+05	4.928757638158627742e+03
1.692000000000000000e+05	4.282086708848417402e+03
1.728000000000000000e+05	4.251197756047760777e+03
1.764000000000000000e+05	3.876003684933039949e+03
1.800000000000000000e+05	3.567387950957102930e+03
1.836000000000000000e+05	4.079817968530745475e+03
1.872000000000000000e+05	4.332411848832542091e+03
1.908000000000000000e+05	4.755110277653300727e+03
1.944000000000000000e+05	9.338985629622935448e+03
1.980000000000000000e+05	8.670303368965311165e+03
2.016000000000000000e+05	9.553472159555025428e+03
