#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	3.550832019184121600e+04
3.600000000000000000e+03	3.857379565938407904e+04
7.200000000000000000e+03	3.710628043250498740e+04
1.080000000000000000e+04	3.685983456033671973e+04
1.440000000000000000e+04	3.611730519915944024e+04
1.800000000000000000e+04	3.475475506338381092e+04
2.160000000000000000e+04	5.839838854972468835e+04
2.520000000000000000e+04	5.551682973781791225e+04
2.880000000000000000e+04	5.905205934274980973e+04
3.240000000000000000e+04	5.253428239856688742e+04
3.600000000000000000e+04	4.810190457425513159e+04
3.960000000000000000e+04	4.645167812381304248e+04
4.320000000000000000e+04	4.617109061521855620e+04
4.680000000000000000e+04	4.504826652625930001e+04
5.040000000000000000e+04	4.869328232914217369e+04
5.400000000000000000e+04	5.216929893137342879e+04
5.760000000000000000e+04	5.349886423353247665e+04
6.120000000000000000e+04	5.231479683658132126e+04
6.480000000000000000e+04	5.451951068139319977e+04
6.840000000000000000e+04	5.433677784324971435e+04
7.200000000000000000e+04	5.362345043475280545e+04
7.560000000000000000e+04	5.502359134272337542e+04
7.920000000000000000e+04	3.930036996933854971e+04
8.280000000000000000e+04	4.422714863164119015e+04
8.640000000000000000e+04	4.560200998152429383e+04
9.000000000000000000e+04	4.622049911187305406e+04
9.360000000000000000e+04	4.610555205879661662e+04
9.720000000000000000e+04	4.355920114155072952e+04
1.008000000000000000e+05	4.309452183773653087e+04
1.044000000000000000e+05	4.168768714384681516e+04
1.080000000000000000e+05	5.824788852121445234e+04
1.116000000000000000e+05	5.906937544668270857e+04
1.152000000000000000e+05	6.016036034640590515e+04
1.188000000000000000e+05	5.974064786165164696e+04
1.224000000000000000e+05	5.428594122072819300e+04
1.260000000000000000e+05	5.480641880064312863e+04
1.296000000000000000e+05	4.941164672722305841e+04
1.332000000000000000e+05	4.860606056320969219e+04
1.368000000000000000e+05	4.844887827030936751e+04
1.404000000000000000e+05	4.454799513780829875e+04
1.440000000000000000e+05	4.747617848162144946e+04
1.476000000000000000e+05	4.472433260243482800e+04
1.512000000000000000e+05	4.414992301699743257e+04
1.548000000000000000e+05	4.537098191829954158e+04
1.584000000000000000e+05	4.194197359953424166e+04
1.620000000000000000e+05	4.352016677608550526e+04
