#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	3.297201160670970421e+04
3.600000000000000000e+03	3.581852454085664795e+04
7.200000000000000000e+03	3.445583183018319687e+04
1.080000000000000000e+04	3.422698923459838261e+04
1.440000000000000000e+04	3.353749768493376178e+04
1.800000000000000000e+04	3.227227255885639534e+04
2.160000000000000000e+04	5.422707508188721113e+04
2.520000000000000000e+04	5.155134189940235228e+04
2.880000000000000000e+04	5.483405510398196930e+04
3.240000000000000000e+04	4.878183365581210819e+04
3.600000000000000000e+04	4.466605424752262479e+04
3.960000000000000000e+04	4.313370111496925529e+04
4.320000000000000000e+04	4.287315557127437205e+04
4.680000000000000000e+04	4.183053320295506273e+04
5.040000000000000000e+04	4.521519073420344648e+04
5.400000000000000000e+04	4.844292043627532985e+04
5.760000000000000000e+04	4.967751678828015429e+04
6.120000000000000000e+04	4.857802563396836922e+04
6.480000000000000000e+04	5.062525991843653901e+04
6.840000000000000000e+04	5.045557942587473372e+04
7.200000000000000000e+04	4.979320397512760246e+04
7.560000000000000000e+04	5.109333481824313640e+04
7.920000000000000000e+04	3.649320068581437226e+04
8.280000000000000000e+04	4.106806658652396436e+04
8.640000000000000000e+04	4.234472355427255388e+04
9.000000000000000000e+04	4.291903488959640526e+04
9.360000000000000000e+04	4.281229834031114297e+04
9.720000000000000000e+04	4.044782963143996312e+04
1.008000000000000000e+05	4.001634170646963321e+04
1.044000000000000000e+05	3.870999520500061772e+04
1.080000000000000000e+05	5.408732505541342107e+04
1.116000000000000000e+05	5.485013434334823251e+04
1.152000000000000000e+05	5.586319175023405114e+04
1.188000000000000000e+05	5.547345872867653088e+04
1.224000000000000000e+05	5.040837399067617662e+04
1.260000000000000000e+05	5.089167460059719451e+04
1.296000000000000000e+05	4.588224338956426800e+04
1.332000000000000000e+05	4.513419909440899937e+04
1.368000000000000000e+05	4.498824410814441217e+04
1.404000000000000000e+05	4.136599548510770546e+04
1.440000000000000000e+05	4.408502287579135009e+04
1.476000000000000000e+05	4.152973741654662444e+04
1.512000000000000000e+05	4.099635708721190167e+04
1.548000000000000000e+05	4.213019749556386523e+04
1.584000000000000000e+05	3.894611834242464829e+04
1.620000000000000000e+05	4.041158343493653956e+04
1.656000000000000000e+05	2.491760805957972843e+04
1.692000000000000000e+05	2.164832725028922141e+04
1.728000000000000000e+05	2.149216643335256958e+04
1.764000000000000000e+05	1.959535196271703535e+04
1.800000000000000000e+05	1.803512797428313206e+04
1.836000000000000000e+05	2.062574639646098876e+04
1.872000000000000000e+05	2.190274879132007482e+04
1.908000000000000000e+05	2.403972418146946438e+04
1.944000000000000000e+05	4.721376068309373659e+04
1.980000000000000000e+05	4.383320036532463564e+04
2.016000000000000000e+05	4.829810925108374067e+04
2.052000000000000000e+05	4.392809958078782802e+04
2.088000000000000000e+05	4.134649477917598415e+04
2.124000000000000000e+05	3.829645194018568145e+04
2.160000000000000000e+05	3.693315397440434026e+04
2.196000000000000000e+05	4.014192561115227727e+04
2.232000000000000000e+05	3.944640720733335183e+04
2.268000000000000000e+05	3.652458162862266909e+04
2.304000000000000000e+05	4.364682133779579453e+04
2.340000000000000000e+05	4.883441211746469344e+04
2.376000000000000000e+05	4.511453237080881809e+04
2.412000000000000000e+05	4.468692500475711859e+04
2.448000000000000000e+05	4.593763482049278537e+04
2.484000000000000000e+05	4.598319331585173495e+04
2.520000000000000000e+05	2.882744708304491360e+04
2.556000000000000000e+05	2.930732255621972945e+04
2.592000000000000000e+05	2.849698949987542437e+04
2.628000000000000000e+05	2.883061595352443692e+04
2.664000000000000000e+05	2.858677012126355839e+04
2.700000000000000000e+05	2.858677012126355839e+04
2.736000000000000000e+05	2.810394123497503097e+04
2.772000000000000000e+05	2.701370269380588798e+04
2.808000000000000000e+05	4.789767702801746782e+04
2.844000000000000000e+05	4.221823974497283780e+04
2.880000000000000000e+05	3.953930381053833116e+04
2.916000000000000000e+05	4.310397757901927253e+04
2.952000000000000000e+05	3.800033789518143021e+04
2.988000000000000000e+05	3.881376490518379433e+04
3.024000000000000000e+05	3.806983735936765879e+04
3.060000000000000000e+05	3.669759356220644986e+04
3.096000000000000000e+05	3.479801517559049535e+04
3.132000000000000000e+05	3.765344247823121987e+04
3.168000000000000000e+05	4.151261109965996729e+04
3.204000000000000000e+05	4.364257808394832682e+04
3.240000000000000000e+05	4.601072177103527065e+04
3.276000000000000000e+05	4.751225041033700836e+04
3.312000000000000000e+05	4.710095685474984202e+04
3.348000000000000000e+05	4.794340392227625853e+04
3.384000000000000000e+05	2.954652280790705845e+04
3.420000000000000000e+05	3.167714340766474197e+04
3.456000000000000000e+05	3.596269884760762216e+04
3.492000000000000000e+05	3.399765267852853867e+04
3.528000000000000000e+05	3.423435748710727785e+04
3.564000000000000000e+05	3.376782216904804227e+04
3.600000000000000000e+05	3.353749768493376178e+04
3.636000000000000000e+05	3.453983117438843328e+04
3.672000000000000000e+05	5.563414665164901089e+04
3.708000000000000000e+05	5.673654728302116564e+04
3.744000000000000000e+05	5.566128908772121940e+04
3.780000000000000000e+05	5.762080624646238721e+04
3.816000000000000000e+05	5.044338937615283066e+04
3.852000000000000000e+05	4.870817372695357335e+04
3.888000000000000000e+05	4.183053320295506273e+04
3.924000000000000000e+05	4.185354917799936811e+04
3.960000000000000000e+05	4.094915165272078593e+04
3.996000000000000000e+05	4.193426598789729906e+04
4.032000000000000000e+05	4.684980306918191491e+04
4.068000000000000000e+05	5.124325337544405920e+04
4.104000000000000000e+05	4.890499600757569715e+04
4.140000000000000000e+05	4.721244514614277432e+04
4.176000000000000000e+05	4.672930256763919897e+04
4.212000000000000000e+05	4.819455565698566352e+04
4.248000000000000000e+05	3.083388139836593473e+04
4.284000000000000000e+05	3.224394611087716112e+04
4.320000000000000000e+05	3.267955774367388949e+04
4.356000000000000000e+05	3.167714340766474197e+04
4.392000000000000000e+05	3.058335073301291050e+04
4.428000000000000000e+05	3.002344142275223567e+04
4.464000000000000000e+05	2.934571990550103146e+04
4.500000000000000000e+05	3.327010630011937610e+04
4.536000000000000000e+05	5.003814491157251177e+04
4.572000000000000000e+05	5.215095243557263166e+04
4.608000000000000000e+05	5.631244806219617021e+04
4.644000000000000000e+05	5.613914424312846677e+04
4.680000000000000000e+05	4.598586217818352452e+04
4.716000000000000000e+05	4.539718638027115958e+04
4.752000000000000000e+05	4.200926876287930645e+04
4.788000000000000000e+05	4.062737618882420793e+04
4.824000000000000000e+05	4.243450725081656128e+04
4.860000000000000000e+05	4.423208150407925132e+04
4.896000000000000000e+05	4.351209880667236575e+04
4.932000000000000000e+05	4.281774989236184047e+04
4.968000000000000000e+05	4.262139199642560561e+04
5.004000000000000000e+05	4.298466069944458286e+04
5.040000000000000000e+05	4.223513171431116643e+04
5.076000000000000000e+05	4.304387947591570264e+04
