#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	8.333585351146408357e+03
3.600000000000000000e+03	9.053033675161570500e+03
7.200000000000000000e+03	8.708616836200149919e+03
1.080000000000000000e+04	8.650777498854537043e+03
1.440000000000000000e+04	8.476510403884358311e+03
1.800000000000000000e+04	8.156728229161506533e+03
2.160000000000000000e+04	1.370574425146599788e+04
2.520000000000000000e+04	1.302946004050828560e+04
2.880000000000000000e+04	1.385915678452291468e+04
3.240000000000000000e+04	1.232947444047998397e+04
3.600000000000000000e+04	1.128922250212110157e+04
3.960000000000000000e+04	1.090192445762959142e+04
4.320000000000000000e+04	1.083607228724517154e+04
4.680000000000000000e+04	1.057255234799963182e+04
5.040000000000000000e+04	1.142801524051295928e+04
5.400000000000000000e+04	1.224381505532233496e+04
5.760000000000000000e+04	1.255585589154333684e+04
6.120000000000000000e+04	1.227796252287112657e+04
6.480000000000000000e+04	1.279539536400044381e+04
6.840000000000000000e+04	1.275250908566064754e+04
7.200000000000000000e+04	1.258509551019708670e+04
7.560000000000000000e+04	1.291370000900650666e+04
7.920000000000000000e+04	9.223556217293742520e+03
8.280000000000000000e+04	1.037984100538517669e+04
8.640000000000000000e+04	1.070251254668427282e+04
9.000000000000000000e+04	1.084766815890898215e+04
9.360000000000000000e+04	1.082069078930940850e+04
9.720000000000000000e+04	1.022307781893537503e+04
1.008000000000000000e+05	1.011402043130551283e+04
1.044000000000000000e+05	9.783844941923232909e+03
1.080000000000000000e+05	1.367042281620339236e+04
1.116000000000000000e+05	1.386322076809900318e+04
1.152000000000000000e+05	1.411926824456465147e+04
1.188000000000000000e+05	1.402076429406110037e+04
1.224000000000000000e+05	1.274057804159947227e+04
1.260000000000000000e+05	1.286273094300808225e+04
1.296000000000000000e+05	1.159661096659316536e+04
1.332000000000000000e+05	1.140754482605941666e+04
1.368000000000000000e+05	1.137065510425628054e+04
1.404000000000000000e+05	1.045514171601623275e+04
1.440000000000000000e+05	1.114236841915605510e+04
1.476000000000000000e+05	1.049652703934694910e+04
1.512000000000000000e+05	1.036171662643817217e+04
1.548000000000000000e+05	1.064829167470295397e+04
1.584000000000000000e+05	9.843524416217218459e+03
1.620000000000000000e+05	1.021391669234659821e+04
1.656000000000000000e+05	6.297856982091579994e+03
1.692000000000000000e+05	5.471555239084089408e+03
1.728000000000000000e+05	5.432086021616582912e+03
1.764000000000000000e+05	4.952671375192217965e+03
1.800000000000000000e+05	4.558329048445187254e+03
1.836000000000000000e+05	5.213100737567063334e+03
1.872000000000000000e+05	5.535859584619359339e+03
1.908000000000000000e+05	6.075974243668107192e+03
1.944000000000000000e+05	1.193314830451819580e+04
1.980000000000000000e+05	1.107872097145567568e+04
2.016000000000000000e+05	1.220721442609808764e+04
2.052000000000000000e+05	1.110270648745186918e+04
2.088000000000000000e+05	1.045021296616535801e+04
2.124000000000000000e+05	9.679323017849128519e+03
2.160000000000000000e+05	9.334753202321975550e+03
2.196000000000000000e+05	1.014576141820332305e+04
2.232000000000000000e+05	9.969971052402934220e+03
2.268000000000000000e+05	9.231487664377156761e+03
2.304000000000000000e+05	1.103161418427805802e+04
2.340000000000000000e+05	1.234276350221635221e+04
2.376000000000000000e+05	1.140257411569893156e+04
2.412000000000000000e+05	1.129449752867487587e+04
2.448000000000000000e+05	1.161061099858608941e+04
2.484000000000000000e+05	1.162212578312736150e+04
2.520000000000000000e+05	7.286058053956407093e+03
2.556000000000000000e+05	7.407345261462130111e+03
2.592000000000000000e+05	7.202535807660820865e+03
2.628000000000000000e+05	7.286858977264418172e+03
2.664000000000000000e+05	7.225227613066613230e+03
2.700000000000000000e+05	7.225227613066613230e+03
2.736000000000000000e+05	7.103193938510172302e+03
2.772000000000000000e+05	6.827639142390499728e+03
2.808000000000000000e+05	1.210600628180661261e+04
2.844000000000000000e+05	1.067054411136676026e+04
2.880000000000000000e+05	9.993450413652544739e+03
2.916000000000000000e+05	1.089441191557630009e+04
2.952000000000000000e+05	9.604481006474426977e+03
2.988000000000000000e+05	9.810072448562936188e+03
3.024000000000000000e+05	9.622046805114903691e+03
3.060000000000000000e+05	9.275215955282948926e+03
3.096000000000000000e+05	8.795102736687706056e+03
3.132000000000000000e+05	9.516804142849648997e+03
3.168000000000000000e+05	1.049219840980416666e+04
3.204000000000000000e+05	1.103054171352540106e+04
3.240000000000000000e+05	1.162908352454737724e+04
3.276000000000000000e+05	1.200859076305221060e+04
3.312000000000000000e+05	1.190463744680490345e+04
3.348000000000000000e+05	1.211756362870718658e+04
3.384000000000000000e+05	7.467802467932553554e+03
3.420000000000000000e+05	8.006310971168011747e+03
3.456000000000000000e+05	9.089473335109618347e+03
3.492000000000000000e+05	8.592813314353368696e+03
3.528000000000000000e+05	8.652639804433707468e+03
3.564000000000000000e+05	8.534724284484669624e+03
3.600000000000000000e+05	8.476510403884358311e+03
3.636000000000000000e+05	8.729847439680594107e+03
3.672000000000000000e+05	1.406137772514205790e+04
3.708000000000000000e+05	1.434000645614820678e+04
3.744000000000000000e+05	1.406823790129217559e+04
3.780000000000000000e+05	1.456350047987510879e+04
3.816000000000000000e+05	1.274942808408258315e+04
3.852000000000000000e+05	1.231085709582343043e+04
3.888000000000000000e+05	1.057255234799963182e+04
3.924000000000000000e+05	1.057836957246137899e+04
3.960000000000000000e+05	1.034978558255580356e+04
3.996000000000000000e+05	1.059877052441360320e+04
4.032000000000000000e+05	1.184115901748553915e+04
4.068000000000000000e+05	1.295159151247487171e+04
4.104000000000000000e+05	1.236060338653012150e+04
4.140000000000000000e+05	1.193281580616795509e+04
4.176000000000000000e+05	1.181070284676595111e+04
