#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	1.739183029804467878e+04
3.600000000000000000e+03	1.889328766990240547e+04
7.200000000000000000e+03	1.817450470163509453e+04
1.080000000000000000e+04	1.805379651934859794e+04
1.440000000000000000e+04	1.769010866897605229e+04
1.800000000000000000e+04	1.702273717390227466e+04
2.160000000000000000e+04	2.860329235088556379e+04
2.520000000000000000e+04	2.719191660627816236e+04
2.880000000000000000e+04	2.892345763726521545e+04
3.240000000000000000e+04	2.573107709317561967e+04
3.600000000000000000e+04	2.356011652616577703e+04
3.960000000000000000e+04	2.275184234635740722e+04
4.320000000000000000e+04	2.261441172990296764e+04
4.680000000000000000e+04	2.206445707408618910e+04
5.040000000000000000e+04	2.384977093672269621e+04
5.400000000000000000e+04	2.555230968067270078e+04
5.760000000000000000e+04	2.620352533887304890e+04
6.120000000000000000e+04	2.562357396077452358e+04
6.480000000000000000e+04	2.670343380313136367e+04
6.840000000000000000e+04	2.661393200485700436e+04
7.200000000000000000e+04	2.626454715171565840e+04
7.560000000000000000e+04	2.695033045357879746e+04
7.920000000000000000e+04	1.924916080130867704e+04
8.280000000000000000e+04	2.166227688080384905e+04
8.640000000000000000e+04	2.233567835829761316e+04
9.000000000000000000e+04	2.263861180989700733e+04
9.360000000000000000e+04	2.258231121247180999e+04
9.720000000000000000e+04	2.133511892647382774e+04
1.008000000000000000e+05	2.110752090011585096e+04
1.044000000000000000e+05	2.041845900923109366e+04
1.080000000000000000e+05	2.852957805120708144e+04
1.116000000000000000e+05	2.893193899429357407e+04
1.152000000000000000e+05	2.946629894517840148e+04
1.188000000000000000e+05	2.926072548325794924e+04
1.224000000000000000e+05	2.658903243464237676e+04
1.260000000000000000e+05	2.684396022888642983e+04
1.296000000000000000e+05	2.420162288680312849e+04
1.332000000000000000e+05	2.380705007177617517e+04
1.368000000000000000e+05	2.373006282627397741e+04
1.404000000000000000e+05	2.181942618994692384e+04
1.440000000000000000e+05	2.325363843997785443e+04
1.476000000000000000e+05	2.190579556037624207e+04
1.512000000000000000e+05	2.162445208995792564e+04
1.548000000000000000e+05	2.222252175590181650e+04
1.584000000000000000e+05	2.054300747732289165e+04
1.620000000000000000e+05	2.131600005359289935e+04
1.656000000000000000e+05	1.314335370175634125e+04
1.692000000000000000e+05	1.141889789026244762e+04
1.728000000000000000e+05	1.133652734946069540e+04
1.764000000000000000e+05	1.033600982648810714e+04
1.800000000000000000e+05	9.513034535885608420e+03
1.836000000000000000e+05	1.087951458274865399e+04
1.872000000000000000e+05	1.155309826355344558e+04
1.908000000000000000e+05	1.268029407374213588e+04
1.944000000000000000e+05	2.490396167899449574e+04
1.980000000000000000e+05	2.312080898390750008e+04
2.016000000000000000e+05	2.547592575881340235e+04
2.052000000000000000e+05	2.317086571294303212e+04
2.088000000000000000e+05	2.180914010330161545e+04
2.124000000000000000e+05	2.020032629811992228e+04
2.160000000000000000e+05	1.948122407441107862e+04
2.196000000000000000e+05	2.117376295972867229e+04
2.232000000000000000e+05	2.080689610936264580e+04
2.268000000000000000e+05	1.926571338652624036e+04
2.304000000000000000e+05	2.302249916718899112e+04
2.340000000000000000e+05	2.575881078723412429e+04
2.376000000000000000e+05	2.379667641537168311e+04
2.412000000000000000e+05	2.357112527723452149e+04
2.448000000000000000e+05	2.423084034487531608e+04
2.484000000000000000e+05	2.425487119957014511e+04
2.520000000000000000e+05	1.520568637347424010e+04
2.556000000000000000e+05	1.545880750218183675e+04
2.592000000000000000e+05	1.503137907685736536e+04
2.628000000000000000e+05	1.520735786559530607e+04
2.664000000000000000e+05	1.507873588813901915e+04
2.700000000000000000e+05	1.507873588813901915e+04
2.736000000000000000e+05	1.482405691515166473e+04
2.772000000000000000e+05	1.424898603629321588e+04
2.808000000000000000e+05	2.526470876203119406e+04
2.844000000000000000e+05	2.226896162372193430e+04
2.880000000000000000e+05	2.085589651544878870e+04
2.916000000000000000e+05	2.273616399772445220e+04
2.952000000000000000e+05	2.004413427438141298e+04
2.988000000000000000e+05	2.047319467526178050e+04
3.024000000000000000e+05	2.008079333241371205e+04
3.060000000000000000e+05	1.935697242841658954e+04
3.096000000000000000e+05	1.835499701569608442e+04
3.132000000000000000e+05	1.986115647203405024e+04
3.168000000000000000e+05	2.189676189872173927e+04
3.204000000000000000e+05	2.302026096735736064e+04
3.240000000000000000e+05	2.426939170340322016e+04
3.276000000000000000e+05	2.506140680984809296e+04
3.312000000000000000e+05	2.484446075854936498e+04
3.348000000000000000e+05	2.528882844251934512e+04
3.384000000000000000e+05	1.558497906351141501e+04
3.420000000000000000e+05	1.670882289635063353e+04
3.456000000000000000e+05	1.896933565588094280e+04
3.492000000000000000e+05	1.793282778647659507e+04
3.528000000000000000e+05	1.805768307012252262e+04
3.564000000000000000e+05	1.781159850675061534e+04
3.600000000000000000e+05	1.769010866897605229e+04
3.636000000000000000e+05	1.821881204802906359e+04
3.672000000000000000e+05	2.934548394812255719e+04
3.708000000000000000e+05	2.992696999543973652e+04
3.744000000000000000e+05	2.935980083747932440e+04
3.780000000000000000e+05	3.039339230582631717e+04
3.816000000000000000e+05	2.660750208852017386e+04
3.852000000000000000e+05	2.569222350432715757e+04
3.888000000000000000e+05	2.206445707408618910e+04
3.924000000000000000e+05	2.207659736861505371e+04
3.960000000000000000e+05	2.159955252011646007e+04
