#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	1.920347928742433214e+04
3.600000000000000000e+03	2.086133846885057574e+04
7.200000000000000000e+03	2.006768227472208309e+04
1.080000000000000000e+04	1.993440032344741121e+04
1.440000000000000000e+04	1.953282832199439144e+04
1.800000000000000000e+04	1.879593896285042865e+04
2.160000000000000000e+04	3.158280197076947661e+04
2.520000000000000000e+04	3.002440791943213844e+04
2.880000000000000000e+04	3.193631780781367343e+04
3.240000000000000000e+04	2.841139762371474717e+04
3.600000000000000000e+04	2.601429533097471358e+04
3.960000000000000000e+04	2.512182592410297002e+04
4.320000000000000000e+04	2.497007961843452722e+04
4.680000000000000000e+04	2.436283801930349728e+04
5.040000000000000000e+04	2.633412207596464577e+04
5.400000000000000000e+04	2.821400860574277249e+04
5.760000000000000000e+04	2.893305922833899240e+04
6.120000000000000000e+04	2.829269624835520517e+04
6.480000000000000000e+04	2.948504149095754474e+04
6.840000000000000000e+04	2.938621658869627572e+04
7.200000000000000000e+04	2.900043748001937274e+04
7.560000000000000000e+04	2.975765654249325598e+04
7.920000000000000000e+04	2.125428171811166612e+04
8.280000000000000000e+04	2.391876405588758280e+04
8.640000000000000000e+04	2.466231152062028195e+04
9.000000000000000000e+04	2.499680054009460946e+04
9.360000000000000000e+04	2.493463529710429066e+04
9.720000000000000000e+04	2.355752714798152010e+04
1.008000000000000000e+05	2.330622099387791968e+04
1.044000000000000000e+05	2.254538182269266690e+04
1.080000000000000000e+05	3.150140909820781599e+04
1.116000000000000000e+05	3.194568263953248606e+04
1.152000000000000000e+05	3.253570508530115330e+04
1.188000000000000000e+05	3.230871772109732046e+04
1.224000000000000000e+05	2.935872331325096093e+04
1.260000000000000000e+05	2.964020608606210226e+04
1.296000000000000000e+05	2.672262527084512112e+04
1.332000000000000000e+05	2.628695112091952615e+04
1.368000000000000000e+05	2.620194437067751642e+04
1.404000000000000000e+05	2.409228308473305879e+04
1.440000000000000000e+05	2.567589244414221321e+04
1.476000000000000000e+05	2.418764926458209811e+04
1.512000000000000000e+05	2.387699918266187524e+04
1.548000000000000000e+05	2.453736777214159156e+04
1.584000000000000000e+05	2.268290408954402665e+04
1.620000000000000000e+05	2.353641672584216212e+04
1.656000000000000000e+05	1.451245304568929168e+04
1.692000000000000000e+05	1.260836642049811780e+04
1.728000000000000000e+05	1.251741561502951845e+04
1.764000000000000000e+05	1.141267751674728424e+04
1.800000000000000000e+05	1.050397563337369138e+04
1.836000000000000000e+05	1.201279735178497140e+04
1.872000000000000000e+05	1.275654599934026373e+04
1.908000000000000000e+05	1.400115803975694143e+04
1.944000000000000000e+05	2.749812435388975791e+04
1.980000000000000000e+05	2.552922658639786459e+04
2.016000000000000000e+05	2.812966802535646275e+04
2.052000000000000000e+05	2.558449755804126471e+04
2.088000000000000000e+05	2.408092553072886949e+04
2.124000000000000000e+05	2.230452695417407813e+04
2.160000000000000000e+05	2.151051824882889923e+04
2.196000000000000000e+05	2.337936326803374322e+04
2.232000000000000000e+05	2.297428112075458921e+04
2.268000000000000000e+05	2.127255853095605926e+04
2.304000000000000000e+05	2.542067616377117884e+04
2.340000000000000000e+05	2.844202024423767944e+04
2.376000000000000000e+05	2.627549687530623487e+04
2.412000000000000000e+05	2.602645082694645316e+04
2.448000000000000000e+05	2.675488621413316287e+04
2.484000000000000000e+05	2.678142028285870038e+04
2.520000000000000000e+05	1.678961203737780670e+04
2.556000000000000000e+05	1.706909995032577717e+04
2.592000000000000000e+05	1.659714773069667353e+04
2.628000000000000000e+05	1.679145764326148492e+04
2.664000000000000000e+05	1.664943754315350088e+04
2.700000000000000000e+05	1.664943754315350088e+04
2.736000000000000000e+05	1.636822951047996321e+04
2.772000000000000000e+05	1.573325541507375965e+04
2.808000000000000000e+05	2.789644925807610707e+04
2.844000000000000000e+05	2.458864512619296875e+04
2.880000000000000000e+05	2.302838573580803859e+04
2.916000000000000000e+05	2.510451441415408044e+04
2.952000000000000000e+05	2.213206492796280872e+04
2.988000000000000000e+05	2.260581912060155082e+04
3.024000000000000000e+05	2.217254263787347372e+04
3.060000000000000000e+05	2.137332372304331875e+04
3.096000000000000000e+05	2.026697587149775791e+04
3.132000000000000000e+05	2.193002693787092721e+04
3.168000000000000000e+05	2.417767459650525416e+04
3.204000000000000000e+05	2.541820481812375147e+04
3.240000000000000000e+05	2.679745333917438984e+04
3.276000000000000000e+05	2.767197001920727052e+04
3.312000000000000000e+05	2.743242542089825656e+04
3.348000000000000000e+05	2.792308140528177682e+04
3.384000000000000000e+05	1.720841438262718657e+04
3.420000000000000000e+05	1.844932528138715497e+04
3.456000000000000000e+05	2.094530812003520987e+04
3.492000000000000000e+05	1.980083068090123925e+04
3.528000000000000000e+05	1.993869172326028274e+04
3.564000000000000000e+05	1.966697335120380376e+04
3.600000000000000000e+05	1.953282832199439144e+04
3.636000000000000000e+05	2.011660496969875749e+04
3.672000000000000000e+05	3.240230519271865705e+04
3.708000000000000000e+05	3.304436270329804393e+04
3.744000000000000000e+05	3.241811342471675380e+04
3.780000000000000000e+05	3.355937067101655703e+04
3.816000000000000000e+05	2.937911688940769091e+04
3.852000000000000000e+05	2.836849678602790300e+04
3.888000000000000000e+05	2.436283801930349728e+04
3.924000000000000000e+05	2.437624292784578574e+04
3.960000000000000000e+05	2.384950590762859065e+04
3.996000000000000000e+05	2.442325381712699891e+04
4.032000000000000000e+05	2.728614904029276659e+04
4.068000000000000000e+05	2.984497174613774769e+04
4.104000000000000000e+05	2.848312954287375760e+04
4.140000000000000000e+05	2.749735816203919967e+04
4.176000000000000000e+05	2.721596742950414773e+04
4.212000000000000000e+05	2.806935659143120938e+04
4.248000000000000000e+05	1.795819466058675243e+04
4.284000000000000000e+05	1.877944114149988673e+04
4.320000000000000000e+05	1.903314901554632888e+04
4.356000000000000000e+05	1.844932528138715497e+04
4.392000000000000000e+05	1.781228119615037576e+04
4.428000000000000000e+05	1.748618016929525766e+04
4.464000000000000000e+05	1.709146324166543855e+04
4.500000000000000000e+05	1.937709487809150596e+04
4.536000000000000000e+05	2.914309538805871489e+04
4.572000000000000000e+05	3.037363163830054327e+04
4.608000000000000000e+05	3.279735986039996351e+04
4.644000000000000000e+05	3.269642466907482230e+04
4.680000000000000000e+05	2.678297467520579085e+04
4.716000000000000000e+05	2.644011954015792799e+04
4.752000000000000000e+05	2.446693675200662619e+04
4.788000000000000000e+05	2.366209821986464885e+04
4.824000000000000000e+05	2.471460312410195183e+04
4.860000000000000000e+05	2.576154197490329898e+04
4.896000000000000000e+05	2.534221139289709390e+04
4.932000000000000000e+05	2.493781037687008575e+04
4.968000000000000000e+05	2.482344808583029953e+04
5.004000000000000000e+05	2.503502216561057867e+04
5.040000000000000000e+05	2.459848330613727376e+04
5.076000000000000000e+05	2.506951222223661898e+04
5.112000000000000000e+05	1.622719596791049480e+04
5.148000000000000000e+05	1.806264260551699772e+04
5.184000000000000000e+05	1.964390783844876205e+04
5.220000000000000000e+05	2.029836729478160851e+04
5.256000000000000000e+05	1.980083068090123925e+04
5.292000000000000000e+05	1.888388908643013201e+04
5.328000000000000000e+05	1.890842138442274882e+04
5.364000000000000000e+05	1.901975825259399790e+04
5.400000000000000000e+05	2.969872629531050916e+04
5.436000000000000000e+05	3.336830006517854781e+04
5.472000000000000000e+05	3.212563711034140215e+04
5.508000000000000000e+05	3.318611321121332730e+04
5.544000000000000000e+05	2.761539506685144079e+04
5.580000000000000000e+05	2.585972132867178880e+04
