#1 
double table(8761,2) 
# time[s] 	 Q_flow[W]
0.000000000000000000e+00	1.500000000000000000e+05
3.600000000000000000e+03	1.500000000000000000e+05
7.200000000000000000e+03	1.500000000000000000e+05
1.080000000000000000e+04	1.500000000000000000e+05
1.440000000000000000e+04	1.500000000000000000e+05
1.800000000000000000e+04	1.500000000000000000e+05
2.160000000000000000e+04	1.500000000000000000e+05
2.520000000000000000e+04	1.500000000000000000e+05
2.880000000000000000e+04	1.500000000000000000e+05
3.240000000000000000e+04	1.500000000000000000e+05
3.600000000000000000e+04	1.500000000000000000e+05
3.960000000000000000e+04	1.500000000000000000e+05
4.320000000000000000e+04	1.500000000000000000e+05
4.680000000000000000e+04	1.500000000000000000e+05
5.040000000000000000e+04	1.500000000000000000e+05
5.400000000000000000e+04	1.500000000000000000e+05
5.760000000000000000e+04	1.500000000000000000e+05
6.120000000000000000e+04	1.500000000000000000e+05
6.480000000000000000e+04	1.500000000000000000e+05
6.840000000000000000e+04	1.500000000000000000e+05
7.200000000000000000e+04	1.500000000000000000e+05
7.560000000000000000e+04	1.500000000000000000e+05
7.920000000000000000e+04	1.500000000000000000e+05
8.280000000000000000e+04	1.500000000000000000e+05
8.640000000000000000e+04	1.500000000000000000e+05
9.000000000000000000e+04	1.500000000000000000e+05
9.360000000000000000e+04	1.500000000000000000e+05
9.720000000000000000e+04	1.500000000000000000e+05
1.008000000000000000e+05	1.500000000000000000e+05
1.044000000000000000e+05	1.500000000000000000e+05
1.080000000000000000e+05	1.500000000000000000e+05
1.116000000000000000e+05	1.500000000000000000e+05
1.152000000000000000e+05	1.500000000000000000e+05
1.188000000000000000e+05	1.500000000000000000e+05
1.224000000000000000e+05	1.500000000000000000e+05
1.260000000000000000e+05	1.500000000000000000e+05
1.296000000000000000e+05	1.500000000000000000e+05
1.332000000000000000e+05	1.500000000000000000e+05
1.368000000000000000e+05	1.500000000000000000e+05
1.404000000000000000e+05	1.500000000000000000e+05
1.440000000000000000e+05	1.500000000000000000e+05
1.476000000000000000e+05	1.500000000000000000e+05
1.512000000000000000e+05	1.500000000000000000e+05
1.548000000000000000e+05	1.500000000000000000e+05
1.584000000000000000e+05	1.500000000000000000e+05
1.620000000000000000e+05	1.500000000000000000e+05
1.656000000000000000e+05	1.500000000000000000e+05
1.692000000000000000e+05	1.500000000000000000e+05
1.728000000000000000e+05	1.500000000000000000e+05
