#1
double table(8761,2)
# Time [s]	Q_flow [W]
6.084000000000000000e+05 4.010241833605974534e+03
6.120000000000000000e+05 4.157055943794815903e+03
6.156000000000000000e+05 4.157055943794815903e+03
6.192000000000000000e+05 4.059396996082649366e+03
6.228000000000000000e+05 4.155856695960866091e+03
6.264000000000000000e+05 6.080390014963203612e+03
6.300000000000000000e+05 6.546578877715135604e+03
6.336000000000000000e+05 5.485155860698185279e+03
6.372000000000000000e+05 5.200840602971490625e+03
6.408000000000000000e+05 4.754798163604777073e+03
6.444000000000000000e+05 4.587601144803526040e+03
6.480000000000000000e+05 4.261681178068428380e+03
6.516000000000000000e+05 4.938945982112055390e+03
6.552000000000000000e+05 4.602329200533624316e+03
6.588000000000000000e+05 4.302978358429791115e+03
6.624000000000000000e+05 4.583919880792595904e+03
6.660000000000000000e+05 4.983074360857332067e+03
6.696000000000000000e+05 5.486190756775648879e+03
6.732000000000000000e+05 5.282639244958690142e+03
6.768000000000000000e+05 5.003337021740016098e+03
6.804000000000000000e+05 4.837139893680557179e+03
6.840000000000000000e+05 4.740809611184479763e+03
6.876000000000000000e+05 3.035070894227700592e+03
6.912000000000000000e+05 3.026784257527018326e+03
6.948000000000000000e+05 2.857760077089299102e+03
6.984000000000000000e+05 2.710886530920448877e+03
7.020000000000000000e+05 2.628626270269793167e+03
7.056000000000000000e+05 2.683520283066695356e+03
7.092000000000000000e+05 2.761733069253359645e+03
7.128000000000000000e+05 5.168890375425362436e+03
7.164000000000000000e+05 4.713072798590252205e+03
7.200000000000000000e+05 4.263561227753415551e+03
7.236000000000000000e+05 4.206147132995679385e+03
7.272000000000000000e+05 3.906179977470347694e+03
7.308000000000000000e+05 3.546269054237269302e+03
7.344000000000000000e+05 3.744020584603897987e+03
7.380000000000000000e+05 3.573853419249490344e+03
7.416000000000000000e+05 3.906730977785660343e+03
7.452000000000000000e+05 3.558733233547953205e+03
7.488000000000000000e+05 4.481655354106847881e+03
7.524000000000000000e+05 4.650144335251798111e+03
7.560000000000000000e+05 4.129320234622778116e+03
7.596000000000000000e+05 4.262551207321192123e+03
7.632000000000000000e+05 4.180040523388831389e+03
7.668000000000000000e+05 4.531396060014133582e+03
7.704000000000000000e+05 4.373740036406141371e+03
7.740000000000000000e+05 3.145460523903866488e+03
7.776000000000000000e+05 3.035070894227700592e+03
7.812000000000000000e+05 2.981580230278591443e+03
7.848000000000000000e+05 2.765456942034532403e+03
7.884000000000000000e+05 2.738198687865904049e+03
7.920000000000000000e+05 2.601098316417769638e+03
7.956000000000000000e+05 2.566839101269064031e+03
