#1                   																			
double wetter (8760, 20)																			
208800	13	1	1	3	11	7	260	7	2.6	983	3.6	78	78	19	109	9	294	-326	9
212400	13	1	1	3	12	7	260	8	3.1	983	3.6	75	22	23	124	9	297	-328	9
216000	13	1	1	3	13	7	270	8	3.5	982.5	3.7	74	1	21	118	9	263	-327	9
219600	13	1	1	3	14	8	270	7	3.4	983.1	3.6	73	21	0	58	9	317	-331	9
223200	13	1	1	3	15	8	270	10	3.3	982.5	3.6	73	61	0	31	9	316	-330	9
226800	13	1	1	3	16	8	270	8	3.5	982.8	3.5	71	21	0	2	9	317	-331	9
230400	13	1	1	3	17	8	270	7	3.6	983.1	3.5	71	-1	0	0	9	318	-332	9
234000	13	1	1	3	18	8	270	7	3.4	983.2	3.5	72	21	0	0	9	302	-330	9
237600	13	1	1	3	19	8	270	6	3.4	983.5	3.6	73	2	0	0	9	302	-330	9
241200	13	1	1	3	20	8	270	6	3.6	983.9	3.6	71	0	0	0	9	289	-330	9
244800	13	1	1	3	21	8	260	5	3.2	984.3	3.7	77	60	0	0	9	287	-328	9
248400	13	1	1	3	22	8	260	4	3.4	984.5	3.8	77	60	0	0	9	302	-330	9
252000	13	1	1	3	23	7	260	5	3.4	984.1	3.7	75	60	0	0	9	288	-329	9
255600	13	1	1	3	24	7	260	6	3.2	984.3	3.7	77	21	0	0	9	287	-328	9
259200	13	1	1	4	1	7	260	3	3.3	983.4	3.6	74	2	0	0	9	287	-328	9
262800	13	1	1	4	2	8	260	4	3.5	983.2	3.6	73	0	0	0	9	303	-330	9
266400	13	1	1	4	3	8	260	4	3.4	983.2	3.7	76	0	0	0	9	288	-329	9
270000	13	1	1	4	4	8	270	4	3.7	982.9	3.8	76	0	0	0	9	289	-330	9
273600	13	1	1	4	5	7	260	5	3.8	982.6	3.7	73	0	0	0	9	290	-331	9
277200	13	1	1	4	6	7	260	4	4.1	982.2	3.7	72	2	0	0	9	302	-333	9
280800	13	1	1	4	7	7	280	4	3.9	982.1	3.6	71	-1	0	0	9	301	-332	9
284400	13	1	1	4	8	7	270	6	4.4	981.7	3.5	67	-1	0	0	9	303	-334	9
288000	13	1	1	4	9	6	260	7	4.2	981.8	3.5	68	-1	7	35	9	287	-332	9
