#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	       13201
         900	        9901
        1800	       11551
        2700	       11551
        3600	       13201
        4500	       13201
        5400	        9901
        6300	        9901
        7200	       13201
        8100	       11551
        9000	        8251
        9900	       11551
       10800	       11551
       11700	       11551
       12600	       13201
       13500	       11551
       14400	        9901
       15300	        9901
       16200	       11551
       17100	       11551
       18000	       11551
       18900	        9901
       19800	        9901
       20700	       11551
       21600	       11551
       22500	       11551
       23400	       13201
       24300	       14851
       25200	       11551
       26100	        9901
       27000	       13201
       27900	       16502
       28800	       14851
       29700	       13201
       30600	       14851
       31500	       13201
       32400	       13201
       33300	       14851
       34200	       13201
       35100	       11551
       36000	       13201
       36900	       16502
       37800	       14851
       38700	       13201
       39600	       14851
       40500	       13201
       41400	       13201
       42300	       16502
       43200	       16502
       44100	       19802
       45000	       18152
       45900	       11551
       46800	       11551
       47700	       14851
       48600	       18152
       49500	       13201
       50400	        6601
       51300	        6601
       52200	       13201
       53100	       21452
       54000	       21452
       54900	       18152
       55800	       18152
       56700	       18152
       57600	       18152
       58500	       16502
       59400	       13201
       60300	       13201
       61200	       11551
       62100	       13201
       63000	       14851
       63900	       13201
       64800	       14851
       65700	       14851
       66600	       13201
       67500	       14851
       68400	       13201
       69300	       11551
       70200	       13201
       71100	       13201
       72000	       13201
       72900	       13201
       73800	       13201
       74700	       11551
       75600	       11551
       76500	       13201
       77400	       11551
       78300	        9901
       79200	       13201
       80100	       13201
       81000	       13201
       81900	       13201
       82800	        9901
       83700	        9901
       84600	       13201
       85500	       13201
       86400	        9901
       87300	       11551
       88200	       11551
       89100	       11551
       90000	       13201
       90900	       11551
       91800	       11551
       92700	       14851
       93600	       14851
       94500	       11551
       95400	       11551
       96300	       13201
       97200	       11551
       98100	        9901
       99000	        9901
       99900	        9901
      100800	       13201
      101700	       13201
      102600	       13201
      103500	       13201
      104400	       11551
      105300	       13201
      106200	       13201
      107100	       13201
      108000	       11551
      108900	       11551
      109800	       11551
      110700	        9901
      111600	       13201
      112500	       13201
      113400	       11551
      114300	       13201
      115200	       13201
      116100	       16502
      117000	       16502
      117900	       14851
      118800	       16502
      119700	       13201
      120600	       13201
      121500	       16502
      122400	       13201
      123300	       13201
      124200	       16502
      125100	       14851
      126000	       13201
      126900	        9901
      127800	        4950
      128700	        8251
      129600	       11551
      130500	       13201
      131400	       16502
      132300	       16502
      133200	       14851
      134100	       14851
      135000	       14851
      135900	       14851
      136800	       14851
      137700	        9901
      138600	        4950
      139500	        9901
      140400	       16502
      141300	       18152
      142200	       19802
      143100	       23102
      144000	       29703
      144900	       23102
      145800	       14851
      146700	       16502
      147600	       13201
      148500	        8251
      149400	        9901
      150300	        9901
      151200	        1650
      152100	        4950
      153000	       13201
      153900	       14851
      154800	       14851
      155700	       14851
      156600	       11551
      157500	        6601
      158400	       11551
      159300	       18152
      160200	       19802
      161100	       18152
      162000	       21452
      162900	       28053
      163800	       28053
      164700	       26403
      165600	       24752
      166500	       19802
      167400	       19802
      168300	       21452
      169200	       19802
