#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	      100000
         900	      120000
        1800	      100000
        2700	      100000
        3600	      100000
        4500	      100000
        5400	      120000
        6300	      120000
        7200	      100000
        8100	      100000
        9000	      120000
        9900	      100000
       10800	      100000
       11700	      120000
       12600	      100000
       13500	      100000
       14400	      120000
       15300	      100000
       16200	      100000
       17100	      120000
       18000	      120000
       18900	      120000
       19800	      100000
       20700	      100000
       21600	      100000
       22500	      100000
       23400	      100000
       24300	      100000
       25200	      100000
       26100	      100000
       27000	      120000
       27900	      100000
       28800	      100000
       29700	      120000
       30600	      100000
       31500	      100000
       32400	      120000
       33300	      120000
       34200	      120000
       35100	      120000
       36000	      120000
       36900	      100000
       37800	      100000
       38700	      120000
       39600	      120000
       40500	      120000
       41400	      120000
       42300	      120000
       43200	      120000
       44100	      100000
       45000	      100000
       45900	      140000
       46800	      140000
       47700	      120000
       48600	      120000
       49500	      120000
       50400	       60000
       51300	       40000
       52200	      120000
       53100	      160000
       54000	      140000
       54900	      140000
       55800	      160000
       56700	      160000
       57600	      140000
       58500	      120000
       59400	      100000
       60300	      100000
       61200	      120000
       62100	      120000
       63000	      120000
       63900	      120000
       64800	      120000
       65700	      120000
       66600	      120000
       67500	      100000
       68400	      100000
       69300	      120000
       70200	      120000
       71100	      120000
       72000	      100000
       72900	      100000
       73800	      120000
       74700	      120000
       75600	      100000
       76500	      100000
       77400	      120000
       78300	      120000
       79200	      100000
       80100	      100000
       81000	      100000
       81900	      100000
       82800	      120000
       83700	      120000
       84600	      100000
       85500	      100000
       86400	      120000
       87300	      100000
       88200	      100000
       89100	      100000
       90000	      100000
       90900	      120000
       91800	      100000
       92700	       80000
       93600	      100000
       94500	      120000
       95400	      100000
       96300	      100000
       97200	      100000
       98100	      100000
       99000	      100000
       99900	      100000
      100800	      100000
      101700	      100000
      102600	      100000
      103500	       80000
      104400	       60000
      105300	       20000
      106200	           0
      107100	       20000
      108000	       80000
      108900	      100000
      109800	      100000
      110700	      120000
      111600	      100000
      112500	      100000
      113400	      120000
      114300	      100000
      115200	      100000
      116100	      100000
      117000	      100000
      117900	      120000
      118800	      100000
      119700	      120000
      120600	      120000
      121500	      100000
      122400	      140000
      123300	      140000
      124200	      120000
      125100	      120000
      126000	      120000
      126900	       60000
      127800	       20000
      128700	       60000
      129600	      120000
      130500	      140000
      131400	      120000
      132300	      120000
      133200	      120000
      134100	      120000
      135000	      120000
      135900	      100000
      136800	      100000
      137700	      120000
      138600	       80000
      139500	       60000
      140400	      120000
      141300	      140000
      142200	      120000
      143100	      160000
      144000	      180000
      144900	      160000
      145800	      140000
      146700	      120000
      147600	      100000
      148500	       60000
      149400	       60000
      150300	      100000
      151200	       60000
      152100	       40000
      153000	      120000
      153900	      140000
      154800	      120000
      155700	      120000
      156600	      100000
      157500	       40000
      158400	       60000
      159300	      120000
      160200	      120000
      161100	      120000
      162000	      120000
      162900	      160000
      163800	      180000
      164700	      120000
      165600	      100000
      166500	      120000
      167400	      100000
      168300	      100000
      169200	      120000
      170100	      100000
      171000	       60000
      171900	       60000
      172800	       60000
      173700	       60000
      174600	       60000
      175500	       60000
      176400	      100000
      177300	      120000
      178200	      120000
      179100	      100000
      180000	      100000
      180900	      100000
      181800	      100000
      182700	      100000
      183600	       80000
      184500	      100000
      185400	      100000
      186300	       80000
      187200	      100000
      188100	      100000
      189000	      100000
      189900	      100000
      190800	       80000
      191700	      100000
      192600	      100000
      193500	      100000
      194400	      100000
      195300	      100000
      196200	      120000
      197100	      100000
      198000	       40000
      198900	       60000
      199800	      120000
      200700	      120000
      201600	      180000
      202500	      220000
      203400	      160000
      204300	      100000
      205200	      100000
      206100	      120000
      207000	       80000
      207900	       60000
      208800	       80000
      209700	       80000
      210600	       80000
      211500	       60000
      212400	       80000
      213300	      120000
      214200	      140000
      215100	      200000
      216000	      220000
      216900	      160000
      217800	      120000
      218700	      120000
      219600	      120000
      220500	      120000
      221400	      120000
      222300	      120000
      223200	      120000
      224100	      120000
      225000	      120000
      225900	      120000
      226800	      120000
      227700	      140000
      228600	      140000
      229500	      120000
      230400	      120000
      231300	      120000
      232200	      120000
      233100	      120000
      234000	      120000
      234900	      120000
      235800	      140000
      236700	      140000
      237600	      120000
      238500	      100000
      239400	      100000
      240300	      120000
      241200	      100000
      242100	       60000
      243000	       60000
      243900	       80000
      244800	      100000
      245700	      100000
      246600	       80000
      247500	      100000
      248400	      100000
      249300	       80000
      250200	       60000
      251100	       80000
      252000	      120000
      252900	      140000
      253800	      200000
      254700	      200000
      255600	      120000
      256500	      100000
      257400	      120000
      258300	      120000
      259200	      100000
      260100	      100000
      261000	      120000
      261900	      100000
      262800	       60000
      263700	       40000
      264600	       60000
      265500	       80000
      266400	      100000
      267300	      100000
      268200	       80000
      269100	       80000
      270000	       80000
      270900	      100000
      271800	      100000
      272700	      100000
      273600	      120000
      274500	      100000
      275400	       80000
      276300	       80000
      277200	       40000
      278100	           0
      279000	           0
      279900	       40000
      280800	       80000
      281700	       80000
      282600	       80000
      283500	      100000
      284400	      100000
      285300	      100000
      286200	      120000
      287100	      100000
      288000	       80000
      288900	       60000
      289800	      100000
      290700	      140000
      291600	      180000
      292500	      220000
      293400	      160000
      294300	      140000
      295200	      140000
      296100	      100000
      297000	      120000
      297900	      140000
      298800	      120000
      299700	      120000
      300600	      140000
      301500	      120000
      302400	      100000
      303300	      140000
      304200	      140000
      305100	      120000
      306000	      120000
      306900	      100000
      307800	      120000
      308700	      120000
      309600	      100000
      310500	      120000
      311400	      120000
      312300	      120000
      313200	      120000
      314100	      120000
      315000	      120000
      315900	      120000
      316800	      100000
      317700	      100000
      318600	      120000
      319500	      120000
      320400	      120000
      321300	      120000
      322200	      100000
      323100	      100000
      324000	      120000
      324900	      100000
      325800	       60000
      326700	       60000
      327600	       80000
      328500	       80000
      329400	       80000
      330300	      100000
      331200	      100000
      332100	      100000
      333000	      100000
      333900	       80000
      334800	      100000
      335700	       80000
      336600	       40000
      337500	      100000
      338400	      140000
      339300	      120000
      340200	      100000
      341100	      100000
      342000	      100000
