#1
double table(35041,2)
# Time[s]	Q_flow[W]
      356400	       79208
      357300	       66007
      358200	       61606
      359100	       52805
      360000	       44004
      360900	       44004
      361800	       30803
      362700	       30803
      363600	       44004
      364500	       44004
      365400	       44004
      366300	       44004
      367200	       26403
      368100	       35204
      369000	       61606
      369900	       57206
      370800	       61606
      371700	       57206
      372600	       44004
      373500	       48405
      374400	       57206
      375300	       57206
      376200	       48405
      377100	       52805
      378000	       44004
      378900	       39604
      379800	       48405
      380700	       52805
      381600	       57206
      382500	       48405
      383400	       48405
      384300	       44004
      385200	       44004
      386100	       48405
      387000	       48405
      387900	       52805
      388800	       52805
      389700	       52805
      390600	       48405
      391500	       44004
      392400	       52805
      393300	       52805
      394200	       52805
      395100	       44004
      396000	       30803
      396900	       44004
      397800	       57206
      398700	       70407
      399600	       88009
      400500	       79208
      401400	       61606
      402300	       57206
      403200	       57206
      404100	       52805
      405000	       44004
      405900	       35204
      406800	       26403
      407700	       30803
      408600	       39604
      409500	       44004
      410400	       52805
      411300	       52805
      412200	       44004
      413100	       26403
      414000	       35204
      414900	       61606
      415800	       57206
      416700	       57206
      417600	       61606
      418500	       52805
      419400	       48405
      420300	       48405
      421200	       44004
      422100	       52805
      423000	       57206
      423900	       39604
      424800	       26403
      425700	       44004
      426600	       61606
      427500	       57206
      428400	       57206
      429300	       52805
      430200	       46205
      431100	       48405
      432000	       55006
      432900	       52805
      433800	       48405
      434700	       52805
      435600	       52805
      436500	       52805
      437400	       48405
      438300	       48405
      439200	       48405
      440100	       30803
      441000	       35204
      441900	       61606
      442800	       61606
      443700	       66007
      444600	       83608
      445500	       83608
      446400	       70407
      447300	       57206
      448200	       52805
      449100	       48405
      450000	       52805
      450900	       44004
      451800	       35204
      452700	       35204
      453600	       30803
      454500	       44004
      455400	       44004
      456300	       44004
      457200	       48405
      458100	       35204
      459000	       35204
      459900	       52805
      460800	       61606
      461700	       57206
      462600	       52805
      463500	       52805
      464400	       57206
      465300	       57206
      466200	       48405
      467100	       48405
      468000	       52805
      468900	       52805
      469800	       48405
      470700	       52805
      471600	       48405
      472500	       48405
      473400	       52805
      474300	       48405
      475200	       48405
      476100	       52805
      477000	       48405
      477900	       44004
      478800	       52805
      479700	       52805
      480600	       52805
      481500	       48405
      482400	       48405
      483300	       52805
      484200	       48405
      485100	       52805
      486000	       57206
      486900	       48405
      487800	       48405
      488700	       57206
      489600	       48405
      490500	       26403
      491400	       39604
      492300	       61606
      493200	       57206
      494100	       61606
      495000	       61606
      495900	       48405
      496800	       44004
      497700	       57206
      498600	       57206
      499500	       48405
      500400	       48405
      501300	       48405
      502200	       48405
      503100	       52805
      504000	       52805
      504900	       44004
      505800	       52805
      506700	       48405
      507600	       39604
      508500	       52805
      509400	       52805
      510300	       52805
      511200	       52805
      512100	       57206
      513000	       52805
      513900	       39604
      514800	       48405
      515700	       48405
      516600	       52805
      517500	       57206
      518400	       48405
      519300	       48405
      520200	       48405
      521100	       52805
      522000	       52805
      522900	       48405
      523800	       48405
      524700	       48405
      525600	       35204
      526500	       35204
      527400	       57206
      528300	       66007
      529200	       74807
      530100	       79208
      531000	       79208
      531900	       66007
      532800	       52805
      533700	       52805
      534600	       52805
      535500	       35204
      536400	       30803
      537300	       39604
      538200	       39604
      539100	       48405
      540000	       48405
      540900	       44004
      541800	       30803
      542700	       30803
      543600	       57206
      544500	       61606
      545400	       70407
      546300	       79208
      547200	       66007
      548100	       52805
      549000	       48405
      549900	       48405
      550800	       30803
      551700	       30803
      552600	       39604
      553500	       35204
      554400	       39604
      555300	       35204
      556200	       26403
      557100	       44004
      558000	       61606
      558900	       61606
      559800	       61606
      560700	       48405
      561600	       44004
      562500	       57206
      563400	       52805
      564300	       48405
      565200	       48405
      566100	       48405
      567000	       52805
      567900	       48405
      568800	       44004
      569700	       52805
      570600	       57206
      571500	       35204
      572400	       26403
      573300	       48405
      574200	       61606
      575100	       61606
      576000	       57206
      576900	       52805
      577800	       48405
      578700	       48405
      579600	       52805
      580500	       48405
      581400	       44004
      582300	       48405
      583200	       52805
      584100	       52805
      585000	       44004
      585900	       44004
      586800	       52805
      587700	       52805
      588600	       57206
      589500	       48405
      590400	       44004
      591300	       48405
      592200	       48405
      593100	       57206
      594000	       52805
      594900	       48405
      595800	       52805
      596700	       48405
      597600	       48405
      598500	       48405
      599400	       52805
      600300	       52805
      601200	       48405
      602100	       48405
      603000	       30803
      603900	       30803
      604800	       52805
      605700	       57206
      606600	       57206
      607500	       52805
      608400	       44004
      609300	       48405
      610200	       52805
      611100	       52805
      612000	       52805
      612900	       52805
      613800	       48405
      614700	       48405
      615600	       48405
      616500	       44004
      617400	       44004
      618300	       35204
      619200	       13201
      620100	       17602
      621000	       39604
      621900	       35204
      622800	       30803
      623700	       39604
      624600	       30803
      625500	        8801
      626400	       17602
      627300	       30803
      628200	       35204
      629100	       39604
      630000	       35204
      630900	       35204
      631800	       26403
      632700	       26403
      633600	       30803
      634500	       26403
      635400	       35204
      636300	       30803
      637200	       13201
      638100	       22002
      639000	       35204
      639900	       39604
      640800	       39604
      641700	       35204
      642600	       39604
      643500	       44004
      644400	       44004
      645300	       48405
      646200	       52805
      647100	       52805
      648000	       57206
      648900	       48405
      649800	       39604
      650700	       48405
      651600	       39604
      652500	       30803
      653400	       48405
      654300	       66007
      655200	       66007
      656100	       79208
      657000	       83608
      657900	       66007
      658800	       61606
      659700	       52805
      660600	       52805
      661500	       48405
      662400	       30803
      663300	       30803
      664200	       39604
      665100	       48405
      666000	       39604
      666900	       39604
      667800	       44004
      668700	       48405
      669600	       52805
      670500	       35204
      671400	       35204
      672300	       48405
      673200	       57206
      674100	       66007
      675000	       79208
      675900	       83608
      676800	       70407
      677700	       52805
      678600	       48405
      679500	       44004
      680400	       35204
      681300	       30803
      682200	       35204
      683100	       44004
      684000	       44004
      684900	       44004
      685800	       44004
      686700	       48405
      687600	       48405
      688500	       30803
      689400	       35204
      690300	       52805
      691200	       57206
      692100	       57206
      693000	       52805
      693900	       57206
      694800	       52805
      695700	       44004
      696600	       39604
      697500	       35204
      698400	       30803
      699300	       30803
      700200	       30803
      701100	       26403
      702000	       26403
      702900	       30803
      703800	       35204
      704700	       39604
      705600	       44004
      706500	       39604
      707400	       39604
      708300	       35204
      709200	       35204
      710100	       35204
      711000	       35204
      711900	       39604
      712800	       30803
      713700	       30803
      714600	       35204
      715500	       35204
      716400	       30803
      717300	       30803
      718200	       30803
      719100	       30803
      720000	       35204
      720900	       35204
      721800	       35204
      722700	       35204
      723600	       39604
      724500	       39604
      725400	       35204
      726300	       35204
      727200	       30803
      728100	       39604
      729000	       39604
      729900	       35204
      730800	       35204
      731700	       26403
      732600	       13201
      733500	        4400
      734400	       13201
      735300	       30803
      736200	       30803
      737100	       35204
      738000	       57206
      738900	       52805
      739800	       48405
      740700	       57206
      741600	       48405
      742500	       48405
      743400	       61606
      744300	       57206
      745200	       61606
