#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	         352
         900	         264
        1800	         308
        2700	         308
        3600	         352
        4500	         352
        5400	         264
        6300	         264
        7200	         352
        8100	         308
        9000	         220
        9900	         308
       10800	         308
       11700	         308
       12600	         352
       13500	         308
       14400	         264
       15300	         264
       16200	         308
       17100	         308
       18000	         308
       18900	         264
       19800	         264
       20700	         308
       21600	         308
       22500	         308
       23400	         352
       24300	         396
       25200	         308
       26100	         264
       27000	         352
       27900	         440
       28800	         396
       29700	         352
       30600	         396
       31500	         352
       32400	         352
       33300	         396
       34200	         352
       35100	         308
       36000	         352
       36900	         440
       37800	         396
       38700	         352
       39600	         396
       40500	         352
       41400	         352
       42300	         440
       43200	         440
       44100	         528
       45000	         484
       45900	         308
       46800	         308
       47700	         396
       48600	         484
       49500	         352
       50400	         176
       51300	         176
       52200	         352
       53100	         572
       54000	         572
       54900	         484
       55800	         484
       56700	         484
       57600	         484
       58500	         440
       59400	         352
       60300	         352
       61200	         308
       62100	         352
       63000	         396
       63900	         352
       64800	         396
       65700	         396
       66600	         352
       67500	         396
       68400	         352
       69300	         308
       70200	         352
       71100	         352
       72000	         352
       72900	         352
       73800	         352
       74700	         308
       75600	         308
       76500	         352
       77400	         308
       78300	         264
       79200	         352
       80100	         352
       81000	         352
       81900	         352
       82800	         264
       83700	         264
       84600	         352
       85500	         352
       86400	         264
       87300	         308
       88200	         308
       89100	         308
       90000	         352
       90900	         308
       91800	         308
       92700	         396
       93600	         396
       94500	         308
       95400	         308
       96300	         352
       97200	         308
       98100	         264
       99000	         264
       99900	         264
      100800	         352
      101700	         352
      102600	         352
      103500	         352
      104400	         308
      105300	         352
      106200	         352
      107100	         352
      108000	         308
      108900	         308
      109800	         308
      110700	         264
      111600	         352
      112500	         352
      113400	         308
      114300	         352
      115200	         352
      116100	         440
      117000	         440
      117900	         396
      118800	         440
      119700	         352
      120600	         352
      121500	         440
      122400	         352
      123300	         352
      124200	         440
      125100	         396
      126000	         352
      126900	         264
      127800	         132
      128700	         220
      129600	         308
      130500	         352
      131400	         440
      132300	         440
      133200	         396
      134100	         396
      135000	         396
      135900	         396
      136800	         396
      137700	         264
      138600	         132
      139500	         264
      140400	         440
      141300	         484
      142200	         528
      143100	         616
      144000	         792
      144900	         616
      145800	         396
      146700	         440
      147600	         352
      148500	         220
      149400	         264
      150300	         264
      151200	          44
      152100	         132
      153000	         352
      153900	         396
      154800	         396
      155700	         396
      156600	         308
      157500	         176
      158400	         308
      159300	         484
      160200	         528
      161100	         484
      162000	         572
      162900	         748
      163800	         748
      164700	         704
      165600	         660
      166500	         528
      167400	         528
      168300	         572
      169200	         528
      170100	         484
      171000	         440
      171900	         352
      172800	         308
      173700	         396
      174600	         308
      175500	         220
      176400	         440
      177300	         660
      178200	         616
      179100	         484
      180000	         528
      180900	         572
      181800	         484
      182700	         484
      183600	         528
      184500	         484
      185400	         440
      186300	         484
      187200	         528
      188100	         528
      189000	         484
      189900	         484
      190800	         484
      191700	         440
      192600	         484
      193500	         484
      194400	         528
      195300	         528
      196200	         440
      197100	         440
      198000	         396
      198900	         440
      199800	         528
      200700	         704
      201600	         924
      202500	         880
      203400	         704
      204300	         704
      205200	         704
      206100	         440
      207000	         352
      207900	         396
      208800	         396
      209700	         484
      210600	         572
      211500	         396
      212400	         352
      213300	         704
      214200	         836
      215100	         836
      216000	         836
      216900	         748
      217800	         660
      218700	         572
      219600	         528
      220500	         616
      221400	         572
      222300	         528
      223200	         616
      224100	         616
      225000	         616
      225900	         660
      226800	         660
      227700	         572
      228600	         572
      229500	         616
      230400	         616
      231300	         572
      232200	         528
      233100	         528
      234000	         572
      234900	         616
      235800	         572
      236700	         528
      237600	         528
      238500	         572
      239400	         572
      240300	         528
      241200	         440
      242100	         396
      243000	         352
      243900	         352
      244800	         484
      245700	         484
      246600	         484
      247500	         572
      248400	         528
      249300	         308
      250200	         308
      251100	         572
      252000	         660
      252900	         748
      253800	         880
      254700	         792
      255600	         660
      256500	         572
      257400	         528
      258300	         528
      259200	         572
      260100	         528
      261000	         484
      261900	         440
      262800	         352
      263700	         396
      264600	         352
      265500	         352
      266400	         396
      267300	         396
      268200	         528
      269100	         572
      270000	         528
      270900	         484
      271800	         484
      272700	         484
      273600	         440
      274500	         572
      275400	         616
      276300	         528
      277200	         572
      278100	         616
      279000	         572
      279900	         484
      280800	         484
      281700	         484
      282600	         440
      283500	         440
      284400	         484
      285300	         572
      286200	         572
      287100	         572
      288000	         528
      288900	         396
      289800	         528
      290700	         792
      291600	         924
      292500	         968
      293400	         836
      294300	         616
      295200	         572
      296100	         660
      297000	         572
      297900	         528
      298800	         660
      299700	         660
      300600	         528
      301500	         572
      302400	         616
      303300	         484
      304200	         484
      305100	         528
      306000	         572
      306900	         660
      307800	         528
      308700	         484
      309600	         572
      310500	         572
      311400	         572
      312300	         572
      313200	         528
      314100	         484
      315000	         528
      315900	         528
      316800	         616
      317700	         572
      318600	         440
      319500	         528
      320400	         572
      321300	         528
      322200	         572
      323100	         616
      324000	         484
      324900	         352
      325800	         396
      326700	         352
      327600	         352
      328500	         396
      329400	         484
      330300	         484
      331200	         440
      332100	         484
      333000	         440
      333900	         484
      334800	         528
      335700	         352
      336600	         308
      337500	         484
      338400	         572
      339300	         616
      340200	         572
      341100	         572
      342000	         572
      342900	         484
      343800	         528
      344700	         528
      345600	         484
      346500	         484
      347400	         528
      348300	         528
      349200	         484
      350100	         528
      351000	         396
      351900	         308
      352800	         484
      353700	         616
      354600	         616
      355500	         748
      356400	         792
      357300	         660
      358200	         616
      359100	         528
      360000	         440
      360900	         440
      361800	         308
      362700	         308
      363600	         440
      364500	         440
      365400	         440
      366300	         440
      367200	         264
      368100	         352
      369000	         616
      369900	         572
      370800	         616
      371700	         572
      372600	         440
      373500	         484
      374400	         572
      375300	         572
      376200	         484
      377100	         528
      378000	         440
      378900	         396
      379800	         484
      380700	         528
      381600	         572
      382500	         484
      383400	         484
      384300	         440
      385200	         440
      386100	         484
      387000	         484
      387900	         528
      388800	         528
      389700	         528
      390600	         484
      391500	         440
      392400	         528
      393300	         528
      394200	         528
      395100	         440
      396000	         308
      396900	         440
      397800	         572
      398700	         704
      399600	         880
      400500	         792
      401400	         616
      402300	         572
      403200	         572
      404100	         528
      405000	         440
      405900	         352
      406800	         264
      407700	         308
      408600	         396
      409500	         440
      410400	         528
      411300	         528
      412200	         440
      413100	         264
      414000	         352
      414900	         616
      415800	         572
      416700	         572
      417600	         616
      418500	         528
      419400	         484
      420300	         484
      421200	         440
      422100	         528
      423000	         572
      423900	         396
      424800	         264
      425700	         440
      426600	         616
      427500	         572
      428400	         572
      429300	         528
      430200	         462
      431100	         484
      432000	         550
      432900	         528
      433800	         484
      434700	         528
      435600	         528
      436500	         528
      437400	         484
      438300	         484
      439200	         484
      440100	         308
      441000	         352
      441900	         616
      442800	         616
      443700	         660
      444600	         836
      445500	         836
      446400	         704
      447300	         572
      448200	         528
      449100	         484
      450000	         528
      450900	         440
      451800	         352
      452700	         352
      453600	         308
      454500	         440
      455400	         440
      456300	         440
      457200	         484
      458100	         352
      459000	         352
      459900	         528
      460800	         616
      461700	         572
      462600	         528
      463500	         528
      464400	         572
      465300	         572
      466200	         484
      467100	         484
      468000	         528
      468900	         528
      469800	         484
      470700	         528
      471600	         484
      472500	         484
      473400	         528
      474300	         484
      475200	         484
      476100	         528
      477000	         484
      477900	         440
      478800	         528
      479700	         528
      480600	         528
      481500	         484
      482400	         484
      483300	         528
      484200	         484
      485100	         528
      486000	         572
      486900	         484
      487800	         484
      488700	         572
      489600	         484
      490500	         264
      491400	         396
      492300	         616
      493200	         572
      494100	         616
      495000	         616
      495900	         484
      496800	         440
      497700	         572
      498600	         572
      499500	         484
      500400	         484
      501300	         484
      502200	         484
      503100	         528
      504000	         528
      504900	         440
      505800	         528
      506700	         484
      507600	         396
      508500	         528
      509400	         528
      510300	         528
      511200	         528
      512100	         572
      513000	         528
      513900	         396
      514800	         484
      515700	         484
      516600	         528
      517500	         572
      518400	         484
      519300	         484
      520200	         484
      521100	         528
      522000	         528
      522900	         484
      523800	         484
      524700	         484
      525600	         352
      526500	         352
      527400	         572
      528300	         660
      529200	         748
      530100	         792
      531000	         792
      531900	         660
      532800	         528
      533700	         528
      534600	         528
      535500	         352
      536400	         308
      537300	         396
      538200	         396
      539100	         484
      540000	         484
      540900	         440
      541800	         308
      542700	         308
      543600	         572
      544500	         616
      545400	         704
      546300	         792
      547200	         660
      548100	         528
      549000	         484
      549900	         484
      550800	         308
      551700	         308
      552600	         396
      553500	         352
      554400	         396
      555300	         352
      556200	         264
      557100	         440
      558000	         616
      558900	         616
      559800	         616
      560700	         484
      561600	         440
      562500	         572
      563400	         528
      564300	         484
      565200	         484
      566100	         484
      567000	         528
      567900	         484
      568800	         440
      569700	         528
      570600	         572
      571500	         352
      572400	         264
      573300	         484
      574200	         616
      575100	         616
      576000	         572
      576900	         528
      577800	         484
      578700	         484
      579600	         528
      580500	         484
      581400	         440
      582300	         484
      583200	         528
      584100	         528
      585000	         440
      585900	         440
      586800	         528
