#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	       33443
         900	       25083
        1800	       29263
        2700	       29263
        3600	       33443
        4500	       33443
        5400	       25083
        6300	       25083
        7200	       33443
        8100	       29263
        9000	       20902
        9900	       29263
       10800	       29263
       11700	       29263
       12600	       33443
       13500	       29263
       14400	       25083
       15300	       25083
       16200	       29263
       17100	       29263
       18000	       29263
       18900	       25083
       19800	       25083
       20700	       29263
       21600	       29263
       22500	       29263
       23400	       33443
       24300	       37624
       25200	       29263
       26100	       25083
       27000	       33443
       27900	       41804
       28800	       37624
       29700	       33443
       30600	       37624
       31500	       33443
       32400	       33443
       33300	       37624
       34200	       33443
       35100	       29263
       36000	       33443
       36900	       41804
       37800	       37624
       38700	       33443
       39600	       37624
       40500	       33443
       41400	       33443
       42300	       41804
       43200	       41804
       44100	       50165
       45000	       45985
       45900	       29263
       46800	       29263
       47700	       37624
       48600	       45985
       49500	       33443
       50400	       16722
       51300	       16722
       52200	       33443
       53100	       54345
       54000	       54345
       54900	       45985
       55800	       45985
       56700	       45985
       57600	       45985
       58500	       41804
       59400	       33443
       60300	       33443
       61200	       29263
       62100	       33443
       63000	       37624
       63900	       33443
       64800	       37624
       65700	       37624
       66600	       33443
       67500	       37624
       68400	       33443
       69300	       29263
       70200	       33443
       71100	       33443
       72000	       33443
       72900	       33443
       73800	       33443
       74700	       29263
       75600	       29263
       76500	       33443
       77400	       29263
       78300	       25083
       79200	       33443
       80100	       33443
       81000	       33443
       81900	       33443
       82800	       25083
       83700	       25083
       84600	       33443
       85500	       33443
       86400	       25083
       87300	       29263
       88200	       29263
       89100	       29263
       90000	       33443
       90900	       29263
       91800	       29263
       92700	       37624
       93600	       37624
       94500	       29263
       95400	       29263
       96300	       33443
       97200	       29263
       98100	       25083
       99000	       25083
       99900	       25083
      100800	       33443
      101700	       33443
      102600	       33443
      103500	       33443
      104400	       29263
      105300	       33443
      106200	       33443
      107100	       33443
      108000	       29263
      108900	       29263
      109800	       29263
      110700	       25083
      111600	       33443
      112500	       33443
      113400	       29263
      114300	       33443
      115200	       33443
      116100	       41804
      117000	       41804
      117900	       37624
      118800	       41804
      119700	       33443
      120600	       33443
      121500	       41804
      122400	       33443
      123300	       33443
