#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	        4752
         900	        3564
        1800	        4158
        2700	        4158
        3600	        4752
        4500	        4752
        5400	        3564
        6300	        3564
        7200	        4752
        8100	        4158
        9000	        2970
        9900	        4158
       10800	        4158
       11700	        4158
       12600	        4752
       13500	        4158
       14400	        3564
       15300	        3564
       16200	        4158
       17100	        4158
       18000	        4158
       18900	        3564
       19800	        3564
       20700	        4158
       21600	        4158
       22500	        4158
       23400	        4752
       24300	        5347
       25200	        4158
       26100	        3564
       27000	        4752
       27900	        5941
       28800	        5347
       29700	        4752
       30600	        5347
       31500	        4752
       32400	        4752
       33300	        5347
       34200	        4752
       35100	        4158
       36000	        4752
       36900	        5941
       37800	        5347
       38700	        4752
       39600	        5347
       40500	        4752
       41400	        4752
       42300	        5941
       43200	        5941
       44100	        7129
       45000	        6535
       45900	        4158
       46800	        4158
       47700	        5347
       48600	        6535
       49500	        4752
       50400	        2376
       51300	        2376
       52200	        4752
       53100	        7723
       54000	        7723
       54900	        6535
       55800	        6535
       56700	        6535
       57600	        6535
       58500	        5941
       59400	        4752
       60300	        4752
       61200	        4158
       62100	        4752
       63000	        5347
       63900	        4752
       64800	        5347
       65700	        5347
       66600	        4752
       67500	        5347
       68400	        4752
       69300	        4158
       70200	        4752
       71100	        4752
       72000	        4752
       72900	        4752
       73800	        4752
       74700	        4158
       75600	        4158
       76500	        4752
       77400	        4158
       78300	        3564
       79200	        4752
       80100	        4752
       81000	        4752
       81900	        4752
       82800	        3564
       83700	        3564
       84600	        4752
       85500	        4752
       86400	        3564
       87300	        4158
       88200	        4158
       89100	        4158
       90000	        4752
       90900	        4158
       91800	        4158
       92700	        5347
       93600	        5347
       94500	        4158
       95400	        4158
       96300	        4752
       97200	        4158
       98100	        3564
       99000	        3564
       99900	        3564
      100800	        4752
      101700	        4752
      102600	        4752
      103500	        4752
      104400	        4158
      105300	        4752
      106200	        4752
      107100	        4752
      108000	        4158
      108900	        4158
      109800	        4158
      110700	        3564
      111600	        4752
      112500	        4752
      113400	        4158
      114300	        4752
      115200	        4752
      116100	        5941
      117000	        5941
      117900	        5347
      118800	        5941
      119700	        4752
      120600	        4752
      121500	        5941
      122400	        4752
      123300	        4752
      124200	        5941
      125100	        5347
      126000	        4752
      126900	        3564
      127800	        1782
      128700	        2970
      129600	        4158
      130500	        4752
      131400	        5941
      132300	        5941
      133200	        5347
      134100	        5347
      135000	        5347
      135900	        5347
      136800	        5347
      137700	        3564
      138600	        1782
      139500	        3564
      140400	        5941
      141300	        6535
      142200	        7129
      143100	        8317
      144000	       10693
      144900	        8317
      145800	        5347
      146700	        5941
      147600	        4752
      148500	        2970
      149400	        3564
      150300	        3564
      151200	         594
      152100	        1782
      153000	        4752
      153900	        5347
      154800	        5347
      155700	        5347
      156600	        4158
      157500	        2376
      158400	        4158
      159300	        6535
      160200	        7129
      161100	        6535
      162000	        7723
      162900	       10099
      163800	       10099
      164700	        9505
      165600	        8911
      166500	        7129
      167400	        7129
      168300	        7723
      169200	        7129
      170100	        6535
      171000	        5941
      171900	        4752
      172800	        4158
      173700	        5347
      174600	        4158
      175500	        2970
      176400	        5941
      177300	        8911
