#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	       20000
         900	       40000
        1800	       40000
        2700	       40000
        3600	       40000
        4500	       40000
        5400	       40000
        6300	       40000
        7200	       20000
        8100	       40000
        9000	       60000
        9900	       40000
       10800	       40000
       11700	       20000
       12600	       20000
       13500	       40000
       14400	       40000
       15300	       40000
       16200	       40000
       17100	       40000
       18000	       20000
       18900	       40000
       19800	       60000
       20700	       40000
       21600	       40000
       22500	       40000
       23400	       20000
       24300	       20000
       25200	       60000
       26100	       60000
       27000	       20000
       27900	       20000
       28800	       40000
       29700	       40000
       30600	       40000
       31500	       60000
       32400	       40000
       33300	       20000
       34200	       40000
       35100	       60000
       36000	       40000
       36900	       20000
       37800	       40000
       38700	       40000
       39600	       40000
       40500	       60000
       41400	       60000
       42300	       40000
       43200	       40000
       44100	       20000
       45000	       20000
       45900	       60000
       46800	       60000
       47700	       40000
       48600	       20000
       49500	       40000
       50400	       40000
       51300	       20000
       52200	       40000
       53100	       40000
       54000	       40000
       54900	       60000
       55800	       60000
       56700	       40000
       57600	       40000
       58500	       40000
       59400	       40000
       60300	       40000
       61200	       40000
       62100	       40000
       63000	       40000
       63900	       40000
       64800	       40000
       65700	       40000
       66600	       40000
       67500	       40000
       68400	       40000
       69300	       40000
       70200	       40000
       71100	       40000
       72000	       40000
       72900	       40000
       73800	       20000
       74700	       40000
       75600	       60000
       76500	       40000
       77400	       40000
       78300	       40000
       79200	       20000
       80100	       20000
       81000	       40000
       81900	       40000
       82800	       40000
       83700	       40000
       84600	       40000
       85500	       40000
       86400	       40000
       87300	       40000
       88200	       40000
       89100	       40000
       90000	       20000
       90900	       20000
       91800	       60000
       92700	       40000
       93600	       20000
       94500	       40000
       95400	       40000
       96300	       20000
       97200	       40000
       98100	       60000
       99000	       40000
       99900	       40000
      100800	       20000
      101700	       20000
      102600	       40000
      103500	       40000
      104400	       40000
      105300	       40000
      106200	       40000
      107100	       20000
      108000	       20000
      108900	       40000
      109800	       40000
      110700	       40000
      111600	       40000
      112500	       40000
      113400	       40000
      114300	       40000
      115200	       40000
      116100	       40000
      117000	       40000
      117900	       20000
      118800	       20000
      119700	       60000
      120600	       60000
      121500	       40000
      122400	       40000
      123300	       20000
      124200	       20000
      125100	       40000
      126000	       40000
      126900	       40000
      127800	       20000
      128700	       20000
      129600	       40000
      130500	       40000
      131400	       40000
      132300	       40000
      133200	       40000
      134100	       40000
      135000	       40000
      135900	       40000
      136800	       40000
      137700	       40000
      138600	       40000
      139500	       40000
      140400	       40000
