#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	       31683
         900	       23762
        1800	       27723
        2700	       27723
        3600	       31683
        4500	       31683
        5400	       23762
        6300	       23762
        7200	       31683
        8100	       27723
        9000	       19802
        9900	       27723
       10800	       27723
       11700	       27723
       12600	       31683
       13500	       27723
       14400	       23762
       15300	       23762
       16200	       27723
       17100	       27723
       18000	       27723
       18900	       23762
       19800	       23762
       20700	       27723
       21600	       27723
       22500	       27723
       23400	       31683
       24300	       35644
       25200	       27723
       26100	       23762
       27000	       31683
       27900	       39604
       28800	       35644
       29700	       31683
       30600	       35644
       31500	       31683
       32400	       31683
       33300	       35644
       34200	       31683
       35100	       27723
       36000	       31683
       36900	       39604
       37800	       35644
       38700	       31683
       39600	       35644
       40500	       31683
       41400	       31683
       42300	       39604
       43200	       39604
       44100	       47525
       45000	       43564
       45900	       27723
       46800	       27723
       47700	       35644
       48600	       43564
       49500	       31683
       50400	       15842
       51300	       15842
       52200	       31683
       53100	       51485
       54000	       51485
       54900	       43564
       55800	       43564
       56700	       43564
       57600	       43564
       58500	       39604
       59400	       31683
       60300	       31683
       61200	       27723
       62100	       31683
       63000	       35644
       63900	       31683
       64800	       35644
       65700	       35644
       66600	       31683
       67500	       35644
       68400	       31683
       69300	       27723
       70200	       31683
       71100	       31683
       72000	       31683
       72900	       31683
       73800	       31683
       74700	       27723
       75600	       27723
       76500	       31683
       77400	       27723
       78300	       23762
       79200	       31683
       80100	       31683
       81000	       31683
       81900	       31683
       82800	       23762
       83700	       23762
       84600	       31683
       85500	       31683
       86400	       23762
       87300	       27723
       88200	       27723
       89100	       27723
       90000	       31683
       90900	       27723
       91800	       27723
       92700	       35644
       93600	       35644
       94500	       27723
       95400	       27723
       96300	       31683
       97200	       27723
       98100	       23762
       99000	       23762
       99900	       23762
      100800	       31683
      101700	       31683
      102600	       31683
      103500	       31683
      104400	       27723
      105300	       31683
      106200	       31683
      107100	       31683
      108000	       27723
      108900	       27723
      109800	       27723
      110700	       23762
      111600	       31683
      112500	       31683
      113400	       27723
      114300	       31683
      115200	       31683
      116100	       39604
      117000	       39604
      117900	       35644
      118800	       39604
      119700	       31683
      120600	       31683
      121500	       39604
      122400	       31683
      123300	       31683
      124200	       39604
      125100	       35644
      126000	       31683
      126900	       23762
      127800	       11881
      128700	       19802
      129600	       27723
      130500	       31683
      131400	       39604
      132300	       39604
      133200	       35644
      134100	       35644
      135000	       35644
      135900	       35644
      136800	       35644
      137700	       23762
      138600	       11881
      139500	       23762
      140400	       39604
      141300	       43564
      142200	       47525
      143100	       55446
      144000	       71287
      144900	       55446
      145800	       35644
      146700	       39604
      147600	       31683
      148500	       19802
      149400	       23762
      150300	       23762
      151200	        3960
      152100	       11881
      153000	       31683
      153900	       35644
      154800	       35644
      155700	       35644
      156600	       27723
      157500	       15842
      158400	       27723
      159300	       43564
      160200	       47525
      161100	       43564
      162000	       51485
      162900	       67327
      163800	       67327
      164700	       63366
      165600	       59406
      166500	       47525
      167400	       47525
      168300	       51485
      169200	       47525
      170100	       43564
      171000	       39604
      171900	       31683
      172800	       27723
      173700	       35644
      174600	       27723
      175500	       19802
      176400	       39604
      177300	       59406
      178200	       55446
      179100	       43564
      180000	       47525
      180900	       51485
      181800	       43564
      182700	       43564
      183600	       47525
      184500	       43564
      185400	       39604
      186300	       43564
      187200	       47525
      188100	       47525
      189000	       43564
      189900	       43564
      190800	       43564
      191700	       39604
      192600	       43564
      193500	       43564
      194400	       47525
      195300	       47525
      196200	       39604
      197100	       39604
      198000	       35644
      198900	       39604
      199800	       47525
      200700	       63366
      201600	       83168
      202500	       79208
      203400	       63366
      204300	       63366
      205200	       63366
      206100	       39604
      207000	       31683
      207900	       35644
      208800	       35644
      209700	       43564
      210600	       51485
      211500	       35644
      212400	       31683
      213300	       63366
      214200	       75248
      215100	       75248
      216000	       75248
      216900	       67327
      217800	       59406
      218700	       51485
      219600	       47525
      220500	       55446
      221400	       51485
      222300	       47525
      223200	       55446
      224100	       55446
      225000	       55446
      225900	       59406
      226800	       59406
      227700	       51485
      228600	       51485
      229500	       55446
      230400	       55446
      231300	       51485
      232200	       47525
      233100	       47525
      234000	       51485
      234900	       55446
      235800	       51485
      236700	       47525
      237600	       47525
      238500	       51485
      239400	       51485
      240300	       47525
      241200	       39604
      242100	       35644
      243000	       31683
      243900	       31683
      244800	       43564
      245700	       43564
      246600	       43564
      247500	       51485
      248400	       47525
      249300	       27723
      250200	       27723
      251100	       51485
      252000	       59406
      252900	       67327
      253800	       79208
      254700	       71287
      255600	       59406
      256500	       51485
      257400	       47525
      258300	       47525
      259200	       51485
      260100	       47525
      261000	       43564
      261900	       39604
      262800	       31683
      263700	       35644
      264600	       31683
      265500	       31683
      266400	       35644
      267300	       35644
      268200	       47525
      269100	       51485
      270000	       47525
      270900	       43564
      271800	       43564
      272700	       43564
      273600	       39604
      274500	       51485
      275400	       55446
      276300	       47525
      277200	       51485
      278100	       55446
      279000	       51485
      279900	       43564
      280800	       43564
      281700	       43564
      282600	       39604
      283500	       39604
      284400	       43564
      285300	       51485
      286200	       51485
      287100	       51485
      288000	       47525
      288900	       35644
      289800	       47525
      290700	       71287
      291600	       83168
      292500	       87129
      293400	       75248
      294300	       55446
      295200	       51485
      296100	       59406
      297000	       51485
      297900	       47525
      298800	       59406
      299700	       59406
      300600	       47525
      301500	       51485
      302400	       55446
      303300	       43564
      304200	       43564
      305100	       47525
      306000	       51485
      306900	       59406
      307800	       47525
      308700	       43564
      309600	       51485
      310500	       51485
      311400	       51485
      312300	       51485
      313200	       47525
      314100	       43564
      315000	       47525
      315900	       47525
      316800	       55446
      317700	       51485
      318600	       39604
      319500	       47525
      320400	       51485
      321300	       47525
      322200	       51485
      323100	       55446
      324000	       43564
      324900	       31683
      325800	       35644
      326700	       31683
      327600	       31683
      328500	       35644
      329400	       43564
      330300	       43564
      331200	       39604
      332100	       43564
      333000	       39604
      333900	       43564
      334800	       47525
      335700	       31683
      336600	       27723
      337500	       43564
      338400	       51485
      339300	       55446
      340200	       51485
      341100	       51485
      342000	       51485
      342900	       43564
      343800	       47525
      344700	       47525
      345600	       43564
      346500	       43564
      347400	       47525
      348300	       47525
      349200	       43564
      350100	       47525
      351000	       35644
      351900	       27723
      352800	       43564
      353700	       55446
      354600	       55446
      355500	       67327
      356400	       71287
      357300	       59406
      358200	       55446
      359100	       47525
      360000	       39604
      360900	       39604
      361800	       27723
      362700	       27723
      363600	       39604
      364500	       39604
      365400	       39604
      366300	       39604
      367200	       23762
      368100	       31683
      369000	       55446
      369900	       51485
      370800	       55446
      371700	       51485
      372600	       39604
      373500	       43564
      374400	       51485
      375300	       51485
      376200	       43564
      377100	       47525
      378000	       39604
      378900	       35644
      379800	       43564
      380700	       47525
      381600	       51485
      382500	       43564
      383400	       43564
      384300	       39604
      385200	       39604
      386100	       43564
      387000	       43564
      387900	       47525
      388800	       47525
      389700	       47525
      390600	       43564
      391500	       39604
      392400	       47525
      393300	       47525
      394200	       47525
