#1
double table(35041,2)
# Time[s]	Q_flow[W]
      356400	       21782
      357300	       18152
      358200	       16942
      359100	       14521
      360000	       12101
      360900	       12101
      361800	        8471
      362700	        8471
      363600	       12101
      364500	       12101
      365400	       12101
      366300	       12101
      367200	        7261
      368100	        9681
      369000	       16942
      369900	       15732
      370800	       16942
      371700	       15732
      372600	       12101
      373500	       13311
      374400	       15732
      375300	       15732
      376200	       13311
      377100	       14521
      378000	       12101
      378900	       10891
      379800	       13311
      380700	       14521
      381600	       15732
      382500	       13311
      383400	       13311
      384300	       12101
      385200	       12101
      386100	       13311
      387000	       13311
      387900	       14521
      388800	       14521
      389700	       14521
      390600	       13311
      391500	       12101
      392400	       14521
      393300	       14521
      394200	       14521
      395100	       12101
      396000	        8471
      396900	       12101
      397800	       15732
      398700	       19362
      399600	       24202
      400500	       21782
      401400	       16942
      402300	       15732
      403200	       15732
      404100	       14521
      405000	       12101
      405900	        9681
      406800	        7261
      407700	        8471
      408600	       10891
      409500	       12101
      410400	       14521
      411300	       14521
      412200	       12101
      413100	        7261
      414000	        9681
      414900	       16942
      415800	       15732
      416700	       15732
      417600	       16942
      418500	       14521
      419400	       13311
      420300	       13311
      421200	       12101
      422100	       14521
      423000	       15732
      423900	       10891
      424800	        7261
      425700	       12101
      426600	       16942
      427500	       15732
      428400	       15732
      429300	       14521
      430200	       12706
      431100	       13311
      432000	       15127
      432900	       14521
      433800	       13311
      434700	       14521
      435600	       14521
      436500	       14521
      437400	       13311
      438300	       13311
      439200	       13311
      440100	        8471
      441000	        9681
      441900	       16942
      442800	       16942
      443700	       18152
      444600	       22992
      445500	       22992
      446400	       19362
      447300	       15732
      448200	       14521
      449100	       13311
      450000	       14521
      450900	       12101
      451800	        9681
      452700	        9681
      453600	        8471
      454500	       12101
      455400	       12101
      456300	       12101
      457200	       13311
      458100	        9681
      459000	        9681
      459900	       14521
      460800	       16942
      461700	       15732
      462600	       14521
      463500	       14521
      464400	       15732
      465300	       15732
      466200	       13311
      467100	       13311
      468000	       14521
      468900	       14521
      469800	       13311
      470700	       14521
      471600	       13311
      472500	       13311
      473400	       14521
      474300	       13311
      475200	       13311
      476100	       14521
      477000	       13311
      477900	       12101
      478800	       14521
      479700	       14521
      480600	       14521
      481500	       13311
      482400	       13311
      483300	       14521
      484200	       13311
      485100	       14521
      486000	       15732
      486900	       13311
      487800	       13311
      488700	       15732
      489600	       13311
      490500	        7261
      491400	       10891
      492300	       16942
      493200	       15732
      494100	       16942
      495000	       16942
      495900	       13311
      496800	       12101
      497700	       15732
      498600	       15732
      499500	       13311
      500400	       13311
      501300	       13311
      502200	       13311
      503100	       14521
      504000	       14521
      504900	       12101
      505800	       14521
      506700	       13311
      507600	       10891
      508500	       14521
      509400	       14521
      510300	       14521
      511200	       14521
      512100	       15732
      513000	       14521
      513900	       10891
      514800	       13311
      515700	       13311
      516600	       14521
      517500	       15732
      518400	       13311
      519300	       13311
      520200	       13311
      521100	       14521
      522000	       14521
      522900	       13311
      523800	       13311
      524700	       13311
      525600	        9681
      526500	        9681
      527400	       15732
      528300	       18152
      529200	       20572
      530100	       21782
      531000	       21782
      531900	       18152
      532800	       14521
      533700	       14521
      534600	       14521
      535500	        9681
      536400	        8471
      537300	       10891
      538200	       10891
      539100	       13311
      540000	       13311
      540900	       12101
      541800	        8471
      542700	        8471
      543600	       15732
      544500	       16942
      545400	       19362
      546300	       21782
      547200	       18152
      548100	       14521
      549000	       13311
      549900	       13311
      550800	        8471
      551700	        8471
      552600	       10891
      553500	        9681
      554400	       10891
      555300	        9681
      556200	        7261
      557100	       12101
      558000	       16942
      558900	       16942
      559800	       16942
      560700	       13311
      561600	       12101
      562500	       15732
      563400	       14521
      564300	       13311
      565200	       13311
      566100	       13311
      567000	       14521
      567900	       13311
      568800	       12101
      569700	       14521
      570600	       15732
      571500	        9681
      572400	        7261
      573300	       13311
      574200	       16942
      575100	       16942
      576000	       15732
      576900	       14521
      577800	       13311
      578700	       13311
      579600	       14521
      580500	       13311
      581400	       12101
      582300	       13311
      583200	       14521
      584100	       14521
      585000	       12101
      585900	       12101
      586800	       14521
      587700	       14521
      588600	       15732
      589500	       13311
      590400	       12101
      591300	       13311
      592200	       13311
      593100	       15732
      594000	       14521
      594900	       13311
      595800	       14521
      596700	       13311
      597600	       13311
      598500	       13311
      599400	       14521
      600300	       14521
      601200	       13311
      602100	       13311
      603000	        8471
      603900	        8471
      604800	       14521
      605700	       15732
      606600	       15732
      607500	       14521
      608400	       12101
      609300	       13311
      610200	       14521
      611100	       14521
      612000	       14521
      612900	       14521
      613800	       13311
      614700	       13311
      615600	       13311
      616500	       12101
      617400	       12101
      618300	        9681
      619200	        3630
      620100	        4840
      621000	       10891
      621900	        9681
      622800	        8471
      623700	       10891
      624600	        8471
      625500	        2420
      626400	        4840
      627300	        8471
      628200	        9681
      629100	       10891
      630000	        9681
      630900	        9681
      631800	        7261
      632700	        7261
      633600	        8471
      634500	        7261
      635400	        9681
      636300	        8471
      637200	        3630
      638100	        6051
      639000	        9681
      639900	       10891
      640800	       10891
      641700	        9681
      642600	       10891
      643500	       12101
      644400	       12101
      645300	       13311
      646200	       14521
      647100	       14521
      648000	       15732
      648900	       13311
      649800	       10891
      650700	       13311
      651600	       10891
      652500	        8471
      653400	       13311
      654300	       18152
      655200	       18152
      656100	       21782
      657000	       22992
      657900	       18152
      658800	       16942
      659700	       14521
      660600	       14521
      661500	       13311
      662400	        8471
      663300	        8471
      664200	       10891
      665100	       13311
      666000	       10891
      666900	       10891
      667800	       12101
      668700	       13311
      669600	       14521
      670500	        9681
      671400	        9681
      672300	       13311
      673200	       15732
      674100	       18152
      675000	       21782
      675900	       22992
      676800	       19362
      677700	       14521
      678600	       13311
      679500	       12101
      680400	        9681
      681300	        8471
      682200	        9681
      683100	       12101
      684000	       12101
      684900	       12101
      685800	       12101
      686700	       13311
      687600	       13311
      688500	        8471
      689400	        9681
      690300	       14521
      691200	       15732
      692100	       15732
      693000	       14521
      693900	       15732
      694800	       14521
      695700	       12101
      696600	       10891
      697500	        9681
      698400	        8471
      699300	        8471
      700200	        8471
      701100	        7261
      702000	        7261
      702900	        8471
      703800	        9681
      704700	       10891
      705600	       12101
      706500	       10891
      707400	       10891
      708300	        9681
      709200	        9681
      710100	        9681
      711000	        9681
      711900	       10891
      712800	        8471
      713700	        8471
      714600	        9681
      715500	        9681
      716400	        8471
      717300	        8471
      718200	        8471
      719100	        8471
      720000	        9681
      720900	        9681
      721800	        9681
      722700	        9681
      723600	       10891
      724500	       10891
      725400	        9681
      726300	        9681
      727200	        8471
      728100	       10891
      729000	       10891
      729900	        9681
      730800	        9681
      731700	        7261
      732600	        3630
      733500	        1210
      734400	        3630
      735300	        8471
      736200	        8471
      737100	        9681
      738000	       15732
      738900	       14521
      739800	       13311
      740700	       15732
      741600	       13311
      742500	       13311
      743400	       16942
      744300	       15732
      745200	       16942
      746100	       18152
      747000	       18152
      747900	       16942
      748800	        9681
      749700	        9681
      750600	       16942
      751500	       18152
      752400	       21782
      753300	       24202
      754200	       20572
      755100	       18152
      756000	       16942
      756900	       15732
      757800	       12101
      758700	        9681
      759600	        7261
      760500	        4840
      761400	        4840
      762300	        1210
      763200	       -1210
      764100	        3630
      765000	        9681
      765900	       10891
      766800	        9681
      767700	       10891
      768600	        9681
      769500	        7261
      770400	        7261
      771300	        9681
      772200	        9681
      773100	        8471
      774000	        8471
      774900	        8471
      775800	       12101
      776700	       14521
      777600	       10891
      778500	        8471
      779400	        9681
      780300	        8471
      781200	        8471
      782100	        8471
      783000	        6051
      783900	        7261
      784800	        9681
      785700	        9681
      786600	        7261
      787500	        7261
      788400	        8471
      789300	        7261
      790200	        8471
      791100	        9681
      792000	        9681
      792900	        7261
      793800	        6051
      794700	        8471
      795600	        9681
      796500	        8471
      797400	        9681
      798300	        8471
      799200	        7261
      800100	        8471
      801000	        8471
      801900	        9681
      802800	       10891
      803700	        8471
      804600	        6051
      805500	        8471
      806400	        8471
      807300	       10891
      808200	       12101
      809100	        7261
      810000	        3630
      810900	        1210
      811800	        3630
      812700	        7261
      813600	        8471
      814500	       12101
      815400	       13311
      816300	       10891
      817200	        9681
      818100	        9681
      819000	        9681
      819900	        9681
      820800	        8471
      821700	        6051
      822600	        7261
      823500	       10891
      824400	       13311
      825300	       14521
      826200	       20572
      827100	       22992
      828000	       18152
      828900	       15732
      829800	       16942
      830700	       18152
      831600	       16942
      832500	       15732
      833400	       14521
      834300	       15732
      835200	       16942
      836100	       14521
